"slope","z"
-0.6109,2.1
-0.5775,2.2
-1.8235,2.3
-0.6286,2.4
-0.7161,2.5
-0.6735,2.6
-0.7062,2.7
-0.6641,2.8
-0.5205,2.9
-0.7863,3
-0.6645,3.1
-0.6634,3.2
-0.7107,3.3
-1.2083,3.4
-0.4028,3.5
-0.449,3.6
-1.1447,3.7
-1.0913,3.8
-1.0646,3.9
-0.588,4
-0.492,4.1
-0.8323,4.2
-0.4866,4.3
-0.667,4.4
-0.5891,4.5
-0.4843,4.6
-0.8414,4.7
-0.5635,4.8
-0.787,4.9
-0.533,5
-1.2127,0.1
-1.7225,0.2
-2.0305,0.3
-1.4852,0.4
-1.0843,0.5
-0.9236,0.6
-1.4358,0.7
-1.0918,0.8
-1.2524,0.9
-1.2678,1
-0.8612,1.1
-0.925,1.2
-0.8609,1.3
-0.9074,1.4
-0.8435,1.5
-1.1962,1.6
-0.7716,1.7
-1.4488,1.8
-0.6387,1.9
-1.042,2
-0.7311,2.1
-0.7241,2.2
-0.8793,2.3
-0.8277,2.4
-0.7255,2.5
-1.3657,2.6
-0.7569,2.7
-0.8197,2.8
-0.9397,2.9
-0.5852,3
-0.866,3.1
-0.7509,3.2
-0.6266,3.3
-0.4925,3.4
-0.7206,3.5
-1.0012,3.6
-0.5778,3.7
-0.6757,3.8
-0.557,3.9
-0.9502,4
-0.7565,4.1
-0.6401,4.2
-1.1436,4.3
-0.7241,4.4
-0.752,4.5
-0.5007,4.6
-0.4462,4.7
-0.4784,4.8
-0.9616,4.9
-0.5646,5
-1.9558,0.1
-1.6885,0.2
-1.4495,0.3
-1.3826,0.4
-1.4304,0.5
-1.1101,0.6
-0.8947,0.7
-1.0983,0.8
-1.2222,0.9
-1.309,1
-0.7277,1.1
-1.3805,1.2
-0.9154,1.3
-0.7785,1.4
-1.2559,1.5
-0.9441,1.6
-0.5259,1.7
-0.859,1.8
-0.4227,1.9
-0.5467,2
-1.3577,2.1
-0.5008,2.2
-0.7754,2.3
-1.1059,2.4
-1.1251,2.5
-0.9034,2.6
-0.8627,2.7
-1.1047,2.8
-0.5428,2.9
-1.0783,3
-0.5703,3.1
-0.6792,3.2
-0.8509,3.3
-0.584,3.4
-0.9773,3.5
-0.7465,3.6
-0.5822,3.7
-0.4518,3.8
-0.5702,3.9
-0.5416,4
-0.8991,4.1
-0.8479,4.2
-0.7211,4.3
-0.8042,4.4
-0.5118,4.5
-0.6065,4.6
-0.7662,4.7
-0.7266,4.8
-1.0097,4.9
-0.5396,5
-1.4417,0.1
-2.1676,0.2
-1.4306,0.3
-1.2946,0.4
-1.2518,0.5
-1.4298,0.6
-1.1144,0.7
-1.3268,0.8
-0.7533,0.9
-1.3572,1
-0.8347,1.1
-0.4832,1.2
-0.661,1.3
-0.8776,1.4
-0.6621,1.5
-0.6172,1.6
-0.6125,1.7
-0.9861,1.8
-1.0036,1.9
-0.786,2
-0.6602,2.1
-0.7982,2.2
-1.1465,2.3
-0.9652,2.4
-0.8294,2.5
-0.859,2.6
-0.6277,2.7
-0.6592,2.8
-1.5674,2.9
-0.6564,3
-0.5483,3.1
-0.8491,3.2
-0.7064,3.3
-0.7009,3.4
-0.5342,3.5
-0.7234,3.6
-1.4626,3.7
-0.6336,3.8
-0.4929,3.9
-0.6493,4
-0.9587,4.1
-0.6383,4.2
-0.5722,4.3
-0.7201,4.4
-0.5452,4.5
-0.4784,4.6
-0.5745,4.7
-0.7593,4.8
-0.881,4.9
-0.9898,5
-1.4805,0.1
-1.7996,0.2
-1.2236,0.3
-1.5646,0.4
-1.273,0.5
-0.9487,0.6
-1.1603,0.7
-1.6874,0.8
-0.7995,0.9
-0.7557,1
-0.543,1.1
-1.2699,1.2
-0.7387,1.3
-0.6999,1.4
-0.9544,1.5
-0.9336,1.6
-0.5376,1.7
-0.5043,1.8
-0.8446,1.9
-0.7889,2
-0.8042,2.1
-1.0051,2.2
-1.1431,2.3
-0.8661,2.4
-0.8255,2.5
-1.0203,2.6
-0.5475,2.7
-0.7585,2.8
-0.7515,2.9
-0.9652,3
-0.7412,3.1
-0.5074,3.2
-0.7066,3.3
-1.1193,3.4
-0.761,3.5
-0.8536,3.6
-0.8073,3.7
-0.5184,3.8
-0.8147,3.9
-0.7771,4
-0.9287,4.1
-0.6588,4.2
-0.7936,4.3
-0.7436,4.4
-0.5357,4.5
-0.4648,4.6
-0.5599,4.7
-0.6566,4.8
-0.6374,4.9
-0.5444,5
-1.4158,0.1
-1.6153,0.2
-1.7588,0.3
-1.2544,0.4
-1.4735,0.5
-1.003,0.6
-1.342,0.7
-1.0754,0.8
-1.2126,0.9
-1.2385,1
-0.9927,1.1
-0.8689,1.2
-1.095,1.3
-0.7689,1.4
-1.2141,1.5
-0.9512,1.6
-1.0121,1.7
-0.5122,1.8
-0.521,1.9
-0.7639,2
-1.5835,2.1
-0.762,2.2
-0.5903,2.3
-0.6152,2.4
-0.6819,2.5
-1.1815,2.6
-0.9855,2.7
-0.7829,2.8
-0.6869,2.9
-1.1042,3
-1.1408,3.1
-1.0476,3.2
-0.7226,3.3
-0.5454,3.4
-0.7471,3.5
-0.9602,3.6
-0.8033,3.7
-1.2353,3.8
-0.6947,3.9
-0.6203,4
-0.8365,4.1
-0.627,4.2
-0.6778,4.3
-0.5184,4.4
-0.5021,4.5
-0.4304,4.6
-0.5537,4.7
-0.6164,4.8
-0.6701,4.9
-0.5352,5
-1.5805,0.1
-1.8029,0.2
-2.4008,0.3
-1.314,0.4
-1.6155,0.5
-1.2082,0.6
-1.2946,0.7
-1.5695,0.8
-1.1627,0.9
-0.8933,1
-0.6974,1.1
-1.1511,1.2
-1.0482,1.3
-0.8116,1.4
-1.0463,1.5
-1.6444,1.6
-0.9439,1.7
-0.8018,1.8
-0.6639,1.9
-1.3578,2
-1.0839,2.1
-0.6111,2.2
-0.669,2.3
-0.5322,2.4
-0.6216,2.5
-0.5696,2.6
-0.5345,2.7
-0.8481,2.8
-0.693,2.9
-0.6024,3
-0.8055,3.1
-0.4959,3.2
-0.5169,3.3
-0.6262,3.4
-0.6482,3.5
-1.0049,3.6
-0.6322,3.7
-0.6207,3.8
-0.4636,3.9
-0.6303,4
-0.5355,4.1
-0.6467,4.2
-0.6213,4.3
-0.5552,4.4
-0.6791,4.5
-0.6691,4.6
-0.5196,4.7
-0.5406,4.8
-0.4912,4.9
-0.4508,5
-1.6587,0.1
-1.1501,0.2
-1.9315,0.3
-1.2477,0.4
-1.4222,0.5
-0.9724,0.6
-1.4836,0.7
-1.0206,0.8
-0.8855,0.9
-1.2472,1
-1.076,1.1
-1.3776,1.2
-1.3251,1.3
-0.7127,1.4
-0.8346,1.5
-1.2283,1.6
-1.1191,1.7
-0.7172,1.8
-1.5879,1.9
-0.6566,2
-0.5523,2.1
-0.6986,2.2
-0.9801,2.3
-0.8708,2.4
-0.6269,2.5
-1.361,2.6
-0.8509,2.7
-0.5947,2.8
-1.2584,2.9
-0.6924,3
-0.678,3.1
-0.6817,3.2
-0.6324,3.3
-0.5734,3.4
-0.4876,3.5
-0.7695,3.6
-0.5935,3.7
-0.4681,3.8
-1.4188,3.9
-1.1189,4
-1.0462,4.1
-0.9762,4.2
-0.5339,4.3
-0.4838,4.4
-0.5371,4.5
-0.4456,4.6
-0.5936,4.7
-0.7748,4.8
-0.4323,4.9
-1.0116,5
-1.37,0.1
-1.7118,0.2
-1.312,0.3
-2.0072,0.4
-1.3174,0.5
-1.4057,0.6
-1.4111,0.7
-1.135,0.8
-1.0824,0.9
-1.0226,1
-0.9722,1.1
-0.7659,1.2
-0.805,1.3
-1.0768,1.4
-0.7841,1.5
-1.2112,1.6
-1.1192,1.7
-0.7938,1.8
-0.589,1.9
-0.7127,2
-0.5629,2.1
-0.9905,2.2
-0.5811,2.3
-0.6905,2.4
-0.5763,2.5
-0.529,2.6
-0.5908,2.7
-0.5163,2.8
-0.6324,2.9
-0.5609,3
-0.7452,3.1
-0.7227,3.2
-0.6335,3.3
-0.5286,3.4
-0.6692,3.5
-0.5423,3.6
-0.6902,3.7
-0.7432,3.8
-0.5762,3.9
-0.8358,4
-0.9993,4.1
-0.6444,4.2
-0.5967,4.3
-0.9006,4.4
-0.7742,4.5
-0.6349,4.6
-0.7555,4.7
-1.141,4.8
-0.4924,4.9
-0.473,5
-1.4661,0.1
-1.2898,0.2
-1.8397,0.3
-1.662,0.4
-1.3581,0.5
-1.6892,0.6
-1.0334,0.7
-1.0281,0.8
-0.9542,0.9
-0.8277,1
-1.3488,1.1
-0.6164,1.2
-0.8008,1.3
-0.9957,1.4
-0.6027,1.5
-1.132,1.6
-1.2541,1.7
-1.4402,1.8
-0.699,1.9
-0.7884,2
-0.8959,2.1
-1.0916,2.2
-1.2086,2.3
-0.6138,2.4
-1.0415,2.5
-0.7951,2.6
-0.8033,2.7
-0.8951,2.8
-0.5676,2.9
-0.7231,3
-1.0343,3.1
-0.6114,3.2
