"z","time","maxtrop","replicate"
0.2,5850000,3.598396,11
0.2,5900000,3.593164,11
0.2,5950000,3.215269,11
0.2,6e+06,3.569072,11
0.2,6050000,4.04931,11
0.2,6100000,4.056825,11
0.2,6150000,3.960738,11
0.2,6200000,4.018694,11
0.2,6250000,3.8321,11
0.2,6300000,3.822249,11
0.2,6350000,3.848631,11
0.2,6400000,3.807035,11
0.2,6450000,3.815922,11
0.2,6500000,3.814791,11
0.2,6550000,3.814791,11
0.2,6600000,3.814791,11
0.2,6650000,3.920377,11
0.2,6700000,3.925359,11
0.2,6750000,3.85335,11
0.2,6800000,3.853352,11
0.2,6850000,3.85673,11
0.2,6900000,3.865268,11
0.2,6950000,3.864751,11
0.2,7e+06,3.846731,11
0.2,7050000,3.844897,11
0.2,7100000,3.799543,11
0.2,7150000,3.797194,11
0.2,7200000,3.797467,11
0.2,7250000,3.798292,11
0.2,7300000,3.787155,11
0.2,7350000,3.744955,11
0.2,7400000,3.758308,11
0.2,7450000,3.757922,11
0.2,7500000,3.776227,11
0.2,7550000,3.708323,11
0.2,7600000,3.690982,11
0.2,7650000,3.721906,11
0.2,7700000,3.715036,11
0.2,7750000,3.714099,11
0.2,7800000,3.712589,11
0.2,7850000,3.650262,11
0.2,7900000,3.764272,11
0.2,7950000,3.764216,11
0.2,8e+06,3.773331,11
0.2,8050000,3.773338,11
0.2,8100000,3.801909,11
0.2,8150000,3.803362,11
0.2,8200000,3.832908,11
0.2,8250000,3.84099,11
0.2,8300000,3.841054,11
0.2,8350000,3.841107,11
0.2,8400000,3.899117,11
0.2,8450000,3.857315,11
0.2,8500000,3.857653,11
0.2,8550000,3.857678,11
0.2,8600000,3.842316,11
0.2,8650000,3.842048,11
0.2,8700000,3.842475,11
0.2,8750000,3.84268,11
0.2,8800000,3.842639,11
0.2,8850000,3.842088,11
0.2,8900000,3.819992,11
0.2,8950000,3.865228,11
0.2,9e+06,3.847652,11
0.2,9050000,3.890479,11
0.2,9100000,3.881183,11
