"z","N","turnover","sd","se","ci","replicate","fit","se.fit"
3,2500,0.0533557864151672,0.139991422245999,0.00279982844491998,0.00549022202493214,3,0.125789311812434,0.00223924590336593
3.1,2500,0.214333429185194,0.2793521149058,0.005587042298116,0.0109557079238191,3,0.130349596744688,0.0022749860868104
3.2,2500,0.137368812690577,0.211087298146769,0.00422174596293538,0.00827847960164524,3,0.135288768958153,0.00239651463959034
3.3,2500,0.0838389844916006,0.175470670711104,0.00350941341422209,0.0068816569301999,3,0.140208067478757,0.00256583920758123
3.4,2500,0.219272512346615,0.253891077288279,0.00507782154576559,0.00995716996154525,3,0.144654156866122,0.00268323067534357
3.5,2500,0.162575859517982,0.227878274894183,0.00455756549788365,0.00893699273680562,3,0.148267302734457,0.00269280849235758
3.6,2500,0.0780200033800622,0.155241360058486,0.00310482720116973,0.00608829827213133,3,0.150912753539289,0.00264556781385238
3.7,2500,0.207571068974026,0.26497198633092,0.00529943972661839,0.0103917440940608,3,0.152737650845758,0.00265729096070095
3.8,2500,0.201309028452441,0.239295346401463,0.00478590692802926,0.00938475058113517,3,0.154126687813647,0.00277270740254215
3.9,2500,0.183798910764158,0.229193732823879,0.00458387465647758,0.00898858272698231,3,0.155577913693638,0.00290340318288644
4,2500,0.137028398075952,0.218728614163351,0.00437457228326702,0.00857815883070532,3,0.157550768694006,0.00293633744287041
4.1,2500,0.232781431135084,0.246787223613494,0.00493574447226987,0.00967856907813778,3,0.160335936462118,0.00285925926579991
4.2,2500,0.148742673209144,0.213553600355199,0.00427107200710399,0.00837520371864913,3,0.163975544661009,0.00279960760559432
4.3,2500,0.166799248170131,0.237909474537407,0.00475818949074814,0.00933039907795233,3,0.168245498801348,0.00292406987597004
4.4,2500,0.0959959867909868,0.165340197101205,0.00330680394202409,0.00648435723537768,3,0.172705859344458,0.00321527352525145
4.5,2500,0.206079211452462,0.235140997195655,0.0047028199439131,0.00922182417362352,3,0.176818140615781,0.00344810215278666
4.6,2500,0.216988359353065,0.263143760931654,0.00526287521863309,0.0103200442485092,3,0.180107071362413,0.00342601124133236
4.7,2500,0.215252797151249,0.267576287085696,0.00535152574171392,0.0104938802759355,3,0.182314082911983,0.00321712924407922
4.8,2500,0.167196879908877,0.233225110080496,0.00466450220160993,0.0091466863868351,3,0.183476022007906,0.00330662257876611
4.9,2500,0.259150082674463,0.285518780591904,0.00571037561183809,0.0111975539114308,3,0.183886262979877,0.00421301638810187
5,2500,0.276854139030904,0.276250031161048,0.00552500062322095,0.0108340495520033,3,0.183945490658424,0.00579075697327836
0.1,2500,0.0847072023547812,0.191072312918333,0.00382144625836667,0.00749352641689402,4,0.0720305609044311,0.00226758194155117
0.2,2500,0.0449396160420397,0.12096235097217,0.00241924701944341,0.00474393468428357,4,0.0628149893673991,0.00143915361231836
0.3,2500,0.0584168098847504,0.128345679174173,0.00256691358348346,0.00503349607641448,4,0.0553239495343682,0.000997053558688479
0.4,2500,0.0468529133972323,0.104898563333962,0.00209797126667923,0.00411394065121954,4,0.0498158064330037,0.000879053801731955
0.5,2500,0.0279004901256294,0.0677031422571469,0.00135406284514294,0.00265520041738075,4,0.0463828489318215,0.00088229829424884
0.6,2500,0.0370140376410655,0.0906775956662394,0.00181355191332479,0.00355621883760744,4,0.0449733043698424,0.000877017183165332
0.7,2500,0.0279438028534933,0.08303782325562,0.0016607564651124,0.00325660014610971,4,0.0454536521072642,0.000846212889367039
0.8,2500,0.0304126369399434,0.0810401262470164,0.00162080252494033,0.00317825391646356,4,0.0476303969896491,0.000827805855194662
0.9,2500,0.108562658325507,0.14658521482211,0.00293170429644221,0.00574881919216132,4,0.0512209879374938,0.000874512523755042
1,2500,0.0487562358676755,0.106927844797941,0.00213855689595882,0.00419352556870648,4,0.0558084318944093,0.000995227766929132
1.1,2500,0.0374197189033876,0.102536967754237,0.00205073935508474,0.00402132294752193,4,0.0608368522336577,0.00113384103804148
