"z","N","combm","sd","se","ci","replicate","fit","se.fit"
4.5,500,2.61135820428,0.138128356692443,0.00617728790369281,0.012136699100978,2,0.224203341810857,0.0028032876105691
4.6,500,2.44168906516,0.2894363763014,0.0129439882514228,0.0254314341541697,2,0.227526863104024,0.00277617933811467
4.7,500,2.5604831499,0.160828625701087,0.00719247479591002,0.0141312666254626,2,0.229742164307203,0.00259420142557853
4.8,500,2.46831657278,0.234564048392039,0.010490023145643,0.0206100567863859,2,0.230866082163795,0.00265249899083299
4.9,500,2.54746219114,0.173521291300506,0.00776010805782949,0.015246512378458,2,0.231197289456303,0.00337940166158057
5,500,2.44082489752,0.238548102319575,0.0106681954538029,0.0209601171568878,2,0.231156493279298,0.00465567468111729
0.1,500,2.6643924813,0.130575992338493,0.00583953590196723,0.0114731078163228,3,0.118414628969875,0.00238496432502669
0.2,500,2.69201391298,0.0965919911704051,0.0043197251667817,0.00848709099616521,3,0.102921802257168,0.00150440392436505
0.3,500,2.65611798328,0.0731898056187374,0.00327314761246986,0.00643084931526071,3,0.0903165954233702,0.0010376781031272
0.4,500,2.65753695364,0.0604003419691259,0.00270118541014398,0.00530709836581701,3,0.0809662197883378,0.000914253956961087
0.5,500,2.63117197382,0.0737711429026761,0.0032991458061647,0.00648192873052555,3,0.0749675077373231,0.000914719445302768
0.6,500,2.64976217442,0.0889502391973447,0.00397797562920258,0.00781564563532705,3,0.0721823632550307,0.000902519663533186
0.7,500,2.6496246134,0.0861910466229644,0.00385458078601604,0.00757320816022214,3,0.0723380159230808,0.000861708878415525
0.8,500,2.6482009894,0.0784035353631508,0.00350631269496628,0.00688895560579349,3,0.075067028041255,0.000833220989763763
0.9,500,2.66853839998,0.048319310651348,0.00216090526484687,0.00424559408498469,3,0.0798741776686695,0.00087148370582829
1,500,2.66518055268,0.095956766737832,0.00429131706653766,0.00843127676667361,3,0.0860848191844542,0.000983343059296485
1.1,500,2.65522233412,0.113080728889291,0.00505712393483357,0.00993588002863482,3,0.0928570559070781,0.00111005528547459
1.2,500,2.63132560128,0.0805086244631053,0.00360045514149012,0.00707392003741837,3,0.09931566952408,0.00118831035388044
1.3,500,2.61895615454,0.11238710839615,0.00502610428336855,0.00987493480770331,3,0.104782103787817,0.001206623195476
1.4,500,2.64845184056,0.0730255011514096,0.00326579969331082,0.00641641264252634,3,0.10898340863329,0.00121228266588899
1.5,500,2.60681067002,0.128557761466487,0.00574927787348535,0.0112957752149919,3,0.112113643772505,0.00125740585152179
1.6,500,2.61627859984,0.0713692494266327,0.00319172986442177,0.0062708854727226,3,0.114715317993894,0.00133491215852504
1.7,500,2.61196041918,0.132703001426231,0.0059346586401461,0.0116599982557741,3,0.117457719326861,0.00139690384891931
1.8,500,2.62305554934,0.144629358951311,0.00646802156314697,0.012707912066657,3,0.120919806523047,0.00141783085604142
1.9,500,2.60839008642,0.14666242587903,0.00655894308021071,0.0128865482435053,3,0.12544045398069,0.0014218514130741
2,500,2.58713352396,0.176169959846423,0.00787856011620021,0.0154792386189619,3,0.131045847305804,0.00146272593462878
2.1,500,2.59914909888,0.154613889105427,0.00691454332610698,0.0135852064980602,3,0.137447028095306,0.00156623581482357
2.2,500,2.55803312532,0.224097269861085,0.01002193457963,0.019690389423155,3,0.144110357287337,0.00169315079420776
2.3,500,2.62103551438,0.128305995225778,0.00573801854491206,0.0112736536812211,3,0.150404552405445,0.00177901318393114
2.4,500,2.4994906747,0.253627119440063,0.0113425496001088,0.0222850405680694,3,0.155798656109048,0.00180005604392963
2.5,500,2.5484446118,0.171092949377535,0.00765150930558198,0.0150331452180927,3,0.160042633618121,0.00179732349424414
2.6,500,2.60940190258,0.128871792095032,0.00576332175013421,0.0113233676322073,3,0.163250008779573,0.00183334321350268
2.7,500,2.5919223562,0.169112343704445,0.00756293392714893,0.0148591185687674,3,0.165844295767711,0.00191612068039217
2.8,500,2.6669498827,0.154343758588947,0.00690246272215407,0.013561471380413,3,0.168399651234605,0.00199186257945622
2.9,500,2.56149133884,0.213874588880114,0.00956476238791513,0.0187921697813504,3,0.171448045819762,0.0020143409565413
3,500,2.62269489954,0.14851327533367,0.00664171558414456,0.0130491738147498,3,0.175318872397801,0.00199779290079451
3.1,500,2.47274551974,0.279670161711339,0.0125072298572983,0.0245733221004727,3,0.180046025385781,0.00200966300094966
3.2,500,2.57593367664,0.181488640984132,0.00811641876769147,0.0159465665024475,3,0.185354519552034,0.00210096964082596
3.3,500,2.55522118688,0.162552390088275,0.00726956388284892,0.0142827258202959,3,0.190730777376015,0.00223639111851492
3.4,500,2.46162226298,0.237364412227331,0.0106152592235919,0.0208561117895442,3,0.19557097714356,0.00232589098676818
3.5,500,2.4983956673,0.246642045180832,0.0110301675826783,0.0216712944372076,3,0.199375398524721,0.00232007937784937
3.6,500,2.60776194872,0.163181698562527,0.00729770741339379,0.0143380202419235,3,0.201923607504999,0.00226466571858202
3.7,500,2.5426615806,0.297933016514782,0.0133239695533724,0.0261779945861358,3,0.203357040371996,0.002262052711702
3.8,500,2.47334250276,0.259415381078007,0.0116014085299887,0.0227936283157241,3,0.204131868989229,0.00235069004299516
3.9,500,2.48678783594,0.26495258116917,0.0118490396461659,0.0232801564478005,3,0.204866131263373,0.00245121989416005
4,500,2.50903457486,0.242725236640676,0.0108550025796655,0.021327142607516,3,0.206147329798444,0.0024643785094585
4.1,500,2.45911351134,0.251070024615281,0.0112281928430463,0.0220603604864107,3,0.208366655142399,0.00238016303065341
4.2,500,2.5335795597,0.20673603089938,0.00924551636979021,0.0181649377465846,3,0.21161883166053,0.00230891095247236
4.3,500,2.50816602264,0.218130704652311,0.00975510167164993,0.0191661349663637,3,0.215681427163262,0.0023939976965107
4.4,500,2.58675621332,0.191964864520869,0.008584929727204,0.0168670637546016,3,0.22007588535752,0.00262160002479704
4.5,500,2.49366994314,0.216964357905885,0.00970294105944304,0.019063653478509,3,0.224203341810857,0.0028032876105691
4.6,500,2.50086194578,0.270249232050887,0.0120859130746579,0.0237455486347029,3,0.227526863104024,0.00277617933811467
4.7,500,2.44863723576,0.239332372770202,0.0107032690946098,0.0210290273698301,3,0.229742164307203,0.00259420142557853
4.8,500,2.52242832614,0.195327807381806,0.00873532510403408,0.0171625499717283,3,0.230866082163795,0.00265249899083299
4.9,500,2.41101813374,0.289388300789811,0.0129418382491835,0.0254272099815795,3,0.231197289456303,0.00337940166158057
5,500,2.4101814885,0.256529554807719,0.0114723504557563,0.0225400641241355,3,0.231156493279298,0.00465567468111729
0.1,500,2.62980993224,0.171234105089229,0.00765782198091719,0.0150455479168596,4,0.118414628969875,0.00238496432502669
0.2,500,2.67992230922,0.0670877976765579,0.00300025752131072,0.00589469413265104,4,0.102921802257168,0.00150440392436505
0.3,500,2.63819763214,0.131244552583318,0.00586943482505688,0.0115318511092759,4,0.0903165954233702,0.0010376781031272
0.4,500,2.67034578522,0.0783000106787671,0.00350168293033365,0.00687985937114642,4,0.0809662197883378,0.000914253956961087
0.5,500,2.66843117566,0.0372004204378689,0.00166365337781295,0.00326862868780504,4,0.0749675077373231,0.000914719445302768
0.6,500,2.65097837442,0.0723689457724462,0.00323643764414372,0.00635872416154811,4,0.0721823632550307,0.000902519663533186
0.7,500,2.68421341426,0.0536532753674709,0.0023994474187436,0.00471426486573509,4,0.0723380159230808,0.000861708878415525
0.8,500,2.65894643894,0.0544589424809652,0.00243547794740378,0.00478505510436658,4,0.075067028041255,0.000833220989763763
0.9,500,2.61169822088,0.108293021287649,0.00484301114176028,0.00951520633109727,4,0.0798741776686695,0.00087148370582829
1,500,2.63274267528,0.0830279732094388,0.00371312384260673,0.00729528354594659,4,0.0860848191844542,0.000983343059296485
1.1,500,2.6218887291,0.0875668459757517,0.00391610840354069,0.00769409327873027,4,0.0928570559070781,0.00111005528547459
1.2,500,2.63324645232,0.111616404032584,0.00499163733641878,0.00980721658401348,4,0.09931566952408,0.00118831035388044
1.3,500,2.61931569862,0.0873757997353873,0.00390756455593468,0.00767730693022663,4,0.104782103787817,0.001206623195476
1.4,500,2.61114183966,0.114193876485646,0.00510690540872238,0.0100336871535108,4,0.10898340863329,0.00121228266588899
1.5,500,2.58609744114,0.183432248028554,0.00820333951714896,0.0161173422535933,4,0.112113643772505,0.00125740585152179
1.6,500,2.61543139768,0.107583161753748,0.00481126525831471,0.00945283426084889,4,0.114715317993894,0.00133491215852504
1.7,500,2.6165872551,0.099133712560178,0.00443339440292966,0.00871042028527621,4,0.117457719326861,0.00139690384891931
1.8,500,2.561347265,0.158675857140167,0.0070962000590692,0.0139421128203818,4,0.120919806523047,0.00141783085604142
1.9,500,2.63505028596,0.143270176605096,0.00640723708074789,0.0125884870075715,4,0.12544045398069,0.0014218514130741
2,500,2.63061171838,0.103962594405364,0.00464934856415264,0.00913471177293711,4,0.131045847305804,0.00146272593462878
2.1,500,2.61493784664,0.130123334316608,0.00581929241981735,0.011433334851967,4,0.137447028095306,0.00156623581482357
2.2,500,2.56763688174,0.169992659760902,0.0076023028580274,0.0149364678643561,4,0.144110357287337,0.00169315079420776
2.3,500,2.57576051478,0.0921333942165604,0.0041203306493203,0.00809533472730698,4,0.150404552405445,0.00177901318393114
2.4,500,2.59213140804,0.179038692775844,0.00800685375298976,0.0157313008978391,4,0.155798656109048,0.00180005604392963
2.5,500,2.49312064082,0.258056019179077,0.0115406160177481,0.022674187480173,4,0.160042633618121,0.00179732349424414
2.6,500,2.61256743356,0.0969040214377921,0.00433367958456,0.00851450765090835,4,0.163250008779573,0.00183334321350268
2.7,500,2.62699105044,0.1320038883272,0.00590339335187821,0.0115985704249964,4,0.165844295767711,0.00191612068039217
2.8,500,2.55454969718,0.175309312837864,0.00784007081188482,0.0154036175515348,4,0.168399651234605,0.00199186257945622
2.9,500,2.60595656296,0.220866556588474,0.00987745268976264,0.0194065216076671,4,0.171448045819762,0.0020143409565413
3,500,2.5897521568,0.177872134193438,0.00795468366718985,0.0156288007969376,4,0.175318872397801,0.00199779290079451
3.1,500,2.5834305354,0.164209570604966,0.00734367524857512,0.0144283345987444,4,0.180046025385781,0.00200966300094966
3.2,500,2.54786261468,0.216195697574218,0.00966856552437877,0.0189961148544373,4,0.185354519552034,0.00210096964082596
3.3,500,2.52439797626,0.212303656222355,0.00949450814369862,0.0186541392028966,4,0.190730777376015,0.00223639111851492
3.4,500,2.56194940716,0.151725979938183,0.00678539210189093,0.0133314592919608,4,0.19557097714356,0.00232589098676818
3.5,500,2.61619667886,0.167114052299824,0.00747356761875723,0.0146835379561062,4,0.199375398524721,0.00232007937784937
3.6,500,2.47760319134,0.236863256896022,0.01059284687583,0.0208120775911753,4,0.201923607504999,0.00226466571858202
3.7,500,2.50321014132,0.252806590559304,0.0113058544330112,0.0222129444947656,4,0.203357040371996,0.002262052711702
3.8,500,2.55240808426,0.197928730796329,0.00885164193521693,0.0173910810686198,4,0.204131868989229,0.00235069004299516
3.9,500,2.49344449944,0.270276635031021,0.0120871385731853,0.0237479564076781,4,0.204866131263373,0.00245121989416005
4,500,2.60691398582,0.155148042500023,0.00693843139212154,0.0136321400834528,4,0.206147329798444,0.0024643785094585
4.1,500,2.59223958242,0.140146209451341,0.00626752902244242,0.012313998479261,4,0.208366655142399,0.00238016303065341
4.2,500,2.46542480874,0.240488500051446,0.0107549726784399,0.0211306109206005,4,0.21161883166053,0.00230891095247236
4.3,500,2.580275764,0.155450194719024,0.00695194405014632,0.0136586887998245,4,0.215681427163262,0.0023939976965107
4.4,500,2.44079079958,0.215378936960199,0.00963203887929296,0.018924349881283,4,0.22007588535752,0.00262160002479704
4.5,500,2.4346178019,0.271159631272449,0.0121266273655795,0.0238255411987096,4,0.224203341810857,0.0028032876105691
4.6,500,2.52155305926,0.196209993210338,0.00877477765366174,0.0172400635555312,4,0.227526863104024,0.00277617933811467
4.7,500,2.54767201546,0.209511319587047,0.00936963105304639,0.0184087895126312,4,0.229742164307203,0.00259420142557853
4.8,500,2.4022428215,0.259055666329816,0.0115853215973995,0.0227620218464552,4,0.230866082163795,0.00265249899083299
4.9,500,2.47019124412,0.243652774950913,0.010896483353934,0.0214086411038822,4,0.231197289456303,0.00337940166158057
5,500,2.52279801606,0.198477907792163,0.00887620187710423,0.0174393347082868,4,0.231156493279298,0.00465567468111729
0.1,500,2.65643404672,0.0772944757755436,0.00345671404238653,0.00679150767531667,5,0.118414628969875,0.00238496432502669
0.2,500,2.67246505352,0.0944346147320648,0.004223244359398,0.00829753231823222,5,0.102921802257168,0.00150440392436505
0.3,500,2.6604718271,0.108040598207723,0.00483172243844422,0.00949302708390606,5,0.0903165954233702,0.0010376781031272
0.4,500,2.66380872514,0.0748878585833864,0.00334908684963686,0.00658004936645191,5,0.0809662197883378,0.000914253956961087
0.5,500,2.64573707456,0.0371201276766415,0.00166006257636883,0.00326157373467059,5,0.0749675077373231,0.000914719445302768
