"speciesType","median","n","z"
"Mutant",0.312704,1135,1.1
"Invader",0.320452,76,1.2
"Mutant",0.304782,331,1.2
"Invader",0.347686,191,1.3
"Mutant",0.305034,807,1.3
"Invader",0.345311,203,1.4
"Mutant",0.305519,759,1.4
"Invader",0.328228,96,1.5
"Mutant",0.307536,463,1.5
"Invader",0.3430425,148,1.6
"Mutant",0.306697,857,1.6
"Invader",0.356722,196,1.7
"Mutant",0.310273,1193,1.7
"Invader",0.370762,318,1.8
"Mutant",0.3130655,2472,1.8
"Invader",0.361087,167,1.9
"Mutant",0.3078605,928,1.9
"Invader",0.3751475,254,2
"Mutant",0.309972,1667,2
"Invader",0.360191,203,2.1
"Mutant",0.311975,2223,2.1
"Invader",0.394059,246,2.2
"Mutant",0.3157385,2532,2.2
"Invader",0.351417,97,2.3
"Mutant",0.306858,872,2.3
"Invader",0.3649215,138,2.4
"Mutant",0.31149,1720,2.4
"Invader",0.365631,113,2.5
"Mutant",0.30965,1391,2.5
"Invader",0.389988,185,2.6
"Mutant",0.3167085,2730,2.6
"Invader",0.378902,163,2.7
"Mutant",0.3146545,2340,2.7
"Invader",0.405886,203,2.8
"Mutant",0.315243,3559,2.8
"Invader",0.363506,49,2.9
"Mutant",0.3067325,616,2.9
"Invader",0.393961,182,3
"Mutant",0.312559,2902,3
"Invader",0.404147,203,3.1
"Mutant",0.315283,3460,3.1
"Invader",0.381809,55,3.2
"Mutant",0.317959,1368,3.2
"Invader",0.3979675,104,3.3
"Mutant",0.31521,2643,3.3
"Invader",0.420163,127,3.4
"Mutant",0.3211645,3386,3.4
"Invader",0.393397,149,3.5
"Mutant",0.316739,3664,3.5
"Invader",0.429141,88,3.6
"Mutant",0.316782,3192,3.6
"Invader",0.406203,123,3.7
"Mutant",0.317331,3703,3.7
"Invader",0.442669,116,3.8
"Mutant",0.323037,6529,3.8
"Invader",0.4362685,136,3.9
"Mutant",0.321019,4773,3.9
"Invader",0.3992505,62,4
"Mutant",0.314937,2522,4
"Invader",0.421093,104,4.1
"Mutant",0.312004,2979,4.1
"Invader",0.434341,68,4.2
"Mutant",0.31635,2357,4.2
"Invader",0.3915865,50,4.3
"Mutant",0.315767,2139,4.3
"Invader",0.411021,112,4.4
"Mutant",0.3200425,4096,4.4
"Invader",0.4028245,86,4.5
"Mutant",0.317587,4337,4.5
"Invader",0.4302055,86,4.6
"Mutant",0.3206355,4532,4.6
"Invader",0.426264,76,4.7
"Mutant",0.3199165,4158,4.7
"Invader",0.408601,79,4.8
"Mutant",0.322617,3677,4.8
"Invader",0.4233865,74,4.9
"Mutant",0.313713,2995,4.9
"Invader",0.386778,65,5
"Mutant",0.315016,3866,5
"Invader",0.314891,1133,0.1
"Mutant",0.3185645,836,0.1
"Invader",0.311699,587,0.2
"Mutant",0.305183,371,0.2
"Invader",0.311736,383,0.3
"Mutant",0.303119,287,0.3
"Invader",0.315989,343,0.4
"Mutant",0.3028875,266,0.4
"Invader",0.321982,394,0.5
"Mutant",0.303764,479,0.5
"Invader",0.320505,166,0.6
"Mutant",0.308138,335,0.6
"Invader",0.32969,391,0.7
"Mutant",0.306106,745,0.7
"Invader",0.334237,290,0.8
"Mutant",0.309641,711,0.8
"Invader",0.318852,137,0.9
"Mutant",0.303521,269,0.9
"Invader",0.3428125,230,1
"Mutant",0.306275,599,1
"Invader",0.3295985,212,1.1
"Mutant",0.304331,660,1.1
"Invader",0.333088,195,1.2
"Mutant",0.306605,725,1.2
"Invader",0.340215,175,1.3
"Mutant",0.3107245,914,1.3
"Invader",0.349731,182,1.4
"Mutant",0.308079,915,1.4
"Invader",0.337564,176,1.5
"Mutant",0.307896,767,1.5
"Invader",0.347955,314,1.6
"Mutant",0.3066955,1572,1.6
"Invader",0.361983,185,1.7
"Mutant",0.308442,1085,1.7
"Invader",0.349873,156,1.8
"Mutant",0.312438,1354,1.8
"Invader",0.367393,288,1.9
"Mutant",0.30995,1969,1.9
"Invader",0.346219,141,2
"Mutant",0.305027,698,2
"Invader",0.328034,66,2.1
"Mutant",0.314728,853,2.1
"Invader",0.3509635,88,2.2
"Mutant",0.314345,1032,2.2
"Invader",0.327952,33,2.3
"Mutant",0.306265,379,2.3
"Invader",0.367305,172,2.4
"Mutant",0.312147,2011,2.4
"Invader",0.379559,148,2.5
"Mutant",0.318121,1987,2.5
"Invader",0.398072,178,2.6
"Mutant",0.310343,2152,2.6
"Invader",0.3507825,114,2.7
"Mutant",0.311576,1821,2.7
"Invader",0.345463,64,2.8
"Mutant",0.303935,523,2.8
"Invader",0.3737315,176,2.9
"Mutant",0.314519,2429,2.9
"Invader",0.412539,176,3
"Mutant",0.31569,3580,3
"Invader",0.3930445,132,3.1
"Mutant",0.31384,2215,3.1
"Invader",0.3578015,96,3.2
"Mutant",0.308322,1603,3.2
"Invader",0.3807505,120,3.3
"Mutant",0.317392,2878,3.3
"Invader",0.393499,175,3.4
"Mutant",0.319214,4053,3.4
"Invader",0.4053835,184,3.5
"Mutant",0.318469,4397,3.5
"Invader",0.37985,84,3.6
"Mutant",0.311515,1773,3.6
"Invader",0.377575,123,3.7
"Mutant",0.3161195,2930,3.7
"Invader",0.381571,35,3.8
"Mutant",0.311582,1109,3.8
"Invader",0.376418,67,3.9
"Mutant",0.313407,1875,3.9
"Invader",0.400198,73,4
"Mutant",0.313497,1998,4
"Invader",0.353657,34,4.1
"Mutant",0.309627,907,4.1
"Invader",0.40444,142,4.2
"Mutant",0.3214825,6590,4.2
"Invader",0.3851675,52,4.3
"Mutant",0.314754,1363,4.3
"Invader",0.3516805,32,4.4
"Mutant",0.3115395,756,4.4
"Invader",0.3568485,20,4.5
"Mutant",0.314516,951,4.5
"Invader",0.3805615,60,4.6
"Mutant",0.315028,2461,4.6
"Invader",0.381709,91,4.7
"Mutant",0.316657,3137,4.7
"Invader",0.354072,37,4.8
"Mutant",0.312726,956,4.8
"Invader",0.400288,100,4.9
"Mutant",0.318735,4603,4.9
"Invader",0.445563,73,5
"Mutant",0.3161895,3014,5
"Invader",0.318532,2567,0.1
"Mutant",0.317731,1707,0.1
"Invader",0.310877,567,0.2
"Mutant",0.309144,391,0.2
"Invader",0.316779,369,0.3
"Mutant",0.3083495,398,0.3
"Invader",0.319066,384,0.4
"Mutant",0.305478,437,0.4
"Invader",0.318249,259,0.5
"Mutant",0.303778,369,0.5
"Invader",0.326319,259,0.6
"Mutant",0.307185,488,0.6
"Invader",0.320262,235,0.7
"Mutant",0.3030365,350,0.7
"Invader",0.324934,249,0.8
"Mutant",0.305236,441,0.8
"Invader",0.319052,162,0.9
"Mutant",0.303176,283,0.9
"Invader",0.343062,315,1
"Mutant",0.30735,827,1
"Invader",0.333651,223,1.1
"Mutant",0.3063665,906,1.1
"Invader",0.336139,251,1.2
"Mutant",0.309081,949,1.2
"Invader",0.342428,241,1.3
"Mutant",0.306563,871,1.3
"Invader",0.326579,125,1.4
"Mutant",0.304669,534,1.4
"Invader",0.325219,157,1.5
"Mutant",0.305768,661,1.5
"Invader",0.3480935,188,1.6
"Mutant",0.30699,1027,1.6
"Invader",0.353187,218,1.7
"Mutant",0.307725,1179,1.7
"Invader",0.359978,195,1.8
"Mutant",0.3126465,1492,1.8
"Invader",0.3571725,182,1.9
"Mutant",0.311214,1339,1.9
"Invader",0.352724,126,2
"Mutant",0.3074345,1086,2
"Invader",0.357407,76,2.1
"Mutant",0.309379,647,2.1
"Invader",0.3702215,160,2.2
"Mutant",0.308999,1395,2.2
"Invader",0.347917,157,2.3
"Mutant",0.3102485,1474,2.3
"Invader",0.400431,248,2.4
"Mutant",0.317881,3488,2.4
"Invader",0.3838295,226,2.5
"Mutant",0.3191105,3728,2.5
"Invader",0.408433,195,2.6
"Mutant",0.318215,2961,2.6
"Invader",0.3922665,152,2.7
"Mutant",0.313088,2008,2.7
"Invader",0.3905595,156,2.8
"Mutant",0.317618,2894,2.8
"Invader",0.403831,220,2.9
"Mutant",0.3182875,3496,2.9
"Invader",0.40703,185,3
"Mutant",0.3197685,4142,3
"Invader",0.411033,195,3.1
"Mutant",0.316799,4036,3.1
"Invader",0.3759175,90,3.2
"Mutant",0.311068,1711,3.2
"Invader",0.362817,76,3.3
"Mutant",0.307879,1169,3.3
"Invader",0.381451,117,3.4
"Mutant",0.3187065,3444,3.4
"Invader",0.369732,62,3.5
"Mutant",0.312149,1175,3.5
"Invader",0.366255,96,3.6
"Mutant",0.316317,2013,3.6
"Invader",0.413679,126,3.7
"Mutant",0.319045,4148,3.7
"Invader",0.3807585,40,3.8
"Mutant",0.307134,621,3.8
"Invader",0.3491525,24,3.9
"Mutant",0.3059405,470,3.9
"Invader",0.393501,132,4
"Mutant",0.313618,3071,4
"Invader",0.4191855,100,4.1
"Mutant",0.3158355,2964,4.1
"Invader",0.387968,113,4.2
"Mutant",0.3190045,3496,4.2
"Invader",0.408095,81,4.3
"Mutant",0.3168845,3060,4.3
"Invader",0.4393145,84,4.4
"Mutant",0.319232,2961,4.4
"Invader",0.385488,80,4.5
"Mutant",0.3109715,1588,4.5
"Invader",0.35303,36,4.6
"Mutant",0.307915,1042,4.6
"Invader",0.3634615,26,4.7
"Mutant",0.311664,1109,4.7
"Invader",0.400228,30,4.8
"Mutant",0.3171005,1336,4.8
"Invader",0.421494,34,4.9
"Mutant",0.315024,1986,4.9
"Invader",0.396243,72,5
"Mutant",0.3188205,3166,5
"Invader",0.312346,1248,0.1
"Mutant",0.313702,848,0.1
"Invader",0.3112665,774,0.2
"Mutant",0.3063525,522,0.2
"Invader",0.318244,730,0.3
"Mutant",0.304025,526,0.3
"Invader",0.313552,291,0.4
"Mutant",0.302205,247,0.4
"Invader",0.325288,517,0.5
"Mutant",0.30437,575,0.5
"Invader",0.332953,473,0.6
"Mutant",0.3098285,736,0.6
"Invader",0.32864,333,0.7
"Mutant",0.305879,621,0.7
"Invader",0.324463,126,0.8
"Mutant",0.30375,276,0.8
"Invader",0.339497,379,0.9
"Mutant",0.305913,872,0.9
"Invader",0.322586,95,1
"Mutant",0.304212,298,1
"Invader",0.3578265,260,1.1
"Mutant",0.310369,1182,1.1
"Invader",0.3467885,318,1.2
"Mutant",0.3091715,1394,1.2
"Invader",0.339279,170,1.3
"Mutant",0.3061705,678,1.3
"Invader",0.359377,191,1.4
"Mutant",0.307668,798,1.4
"Invader",0.336899,93,1.5
"Mutant",0.303378,302,1.5
"Invader",0.344506,126,1.6
"Mutant",0.30655,739,1.6
"Invader",0.3704975,158,1.7
"Mutant",0.3130455,1316,1.7
"Invader",0.347426,139,1.8
"Mutant",0.3098,905,1.8
"Invader",0.338715,88,1.9
"Mutant",0.304884,614,1.9
"Invader",0.357929,187,2
"Mutant",0.30648,1225,2
"Invader",0.374712,207,2.1
"Mutant",0.3109715,1894,2.1
"Invader",0.366914,217,2.2
"Mutant",0.314679,2883,2.2
"Invader",0.3720285,176,2.3
"Mutant",0.312922,2238,2.3
"Invader",0.369305,108,2.4
"Mutant",0.311457,1263,2.4
"Invader",0.3816725,172,2.5
"Mutant",0.312898,2221,2.5
"Invader",0.329703,45,2.6
"Mutant",0.305855,644,2.6
"Invader",0.3425975,48,2.7
"Mutant",0.306811,544,2.7
"Invader",0.372531,120,2.8
"Mutant",0.310839,1636,2.8
"Invader",0.406607,138,2.9
"Mutant",0.315505,3033,2.9
"Invader",0.4064415,210,3
"Mutant",0.3198,4906,3
"Invader",0.384984,153,3.1
"Mutant",0.3163625,3380,3.1
"Invader",0.353542,92,3.2
"Mutant",0.3128325,1764,3.2
"Invader",0.409404,147,3.3
"Mutant",0.315844,3688,3.3
"Invader",0.404906,137,3.4
"Mutant",0.316264,2847,3.4
"Invader",0.405523,73,3.5
"Mutant",0.314538,1926,3.5
"Invader",0.403394,137,3.6
"Mutant",0.3200865,3410,3.6
"Invader",0.330028,19,3.7
"Mutant",0.309287,584,3.7
"Invader",0.391066,85,3.8
"Mutant",0.3102355,1852,3.8
"Invader",0.4297295,106,3.9
"Mutant",0.3152815,2944,3.9
"Invader",0.40702,90,4
"Mutant",0.314489,2979,4
"Invader",0.4280065,74,4.1
"Mutant",0.321796,3496,4.1
"Invader",0.346361,36,4.2
"Mutant",0.313754,1685,4.2
"Invader",0.405296,68,4.3
"Mutant",0.3118425,2136,4.3
"Invader",0.405204,91,4.4
"Mutant",0.314103,3337,4.4
"Invader",0.4335225,88,4.5
"Mutant",0.3199245,5668,4.5
"Invader",0.388804,76,4.6
"Mutant",0.312948,2339,4.6
"Invader",0.372379,32,4.7
"Mutant",0.3138985,1694,4.7
"Invader",0.3947545,74,4.8
"Mutant",0.318795,3707,4.8
"Invader",0.444414,74,4.9
"Mutant",0.321861,4327,4.9
"Invader",0.33287,19,5
"Mutant",0.3106535,652,5
"Invader",0.307289,1115,0.1
"Mutant",0.308201,451,0.1
"Invader",0.311306,499,0.2
"Mutant",0.312085,483,0.2
"Invader",0.311353,237,0.3
"Mutant",0.303741,181,0.3
"Invader",0.326026,198,0.4
"Mutant",0.3148205,352,0.4
"Invader",0.320878,312,0.5
"Mutant",0.3094115,630,0.5
"Invader",0.321723,379,0.6
"Mutant",0.303478,459,0.6
"Invader",0.329342,389,0.7
"Mutant",0.305642,689,0.7
"Invader",0.3354225,400,0.8
"Mutant",0.304822,669,0.8
"Invader",0.324643,195,0.9
"Mutant",0.306274,475,0.9
"Invader",0.3352035,354,1
"Mutant",0.305147,848,1
"Invader",0.35146,152,1.1
"Mutant",0.310624,563,1.1
"Invader",0.338099,293,1.2
"Mutant",0.306759,1108,1.2
"Invader",0.3604125,304,1.3
"Mutant",0.314114,1806,1.3
"Invader",0.34009,186,1.4
"Mutant",0.3046055,756,1.4
"Invader",0.358637,305,1.5
"Mutant",0.309729,1595,1.5
"Invader",0.3604215,218,1.6
"Mutant",0.30781,1215,1.6
"Invader",0.349887,116,1.7
"Mutant",0.306702,709,1.7
"Invader",0.340653,98,1.8
"Mutant",0.30538,494,1.8
"Invader",0.352644,85,1.9
"Mutant",0.308015,697,1.9
"Invader",0.327929,95,2
"Mutant",0.3076055,622,2
"Invader",0.371465,113,2.1
"Mutant",0.311915,1231,2.1
"Invader",0.380074,122,2.2
"Mutant",0.3100225,1196,2.2
"Invader",0.386084,158,2.3
"Mutant",0.315113,1703,2.3
"Invader",0.3837105,146,2.4
"Mutant",0.31994,2262,2.4
"Invader",0.365138,133,2.5
"Mutant",0.312474,1791,2.5
"Invader",0.37301,176,2.6
"Mutant",0.312908,1950,2.6
"Invader",0.388597,163,2.7
"Mutant",0.311548,2174,2.7
"Invader",0.3829085,124,2.8
"Mutant",0.321498,2453,2.8
"Invader",0.3678205,118,2.9
"Mutant",0.30914,2113,2.9
"Invader",0.39244,113,3
"Mutant",0.316462,2565,3
"Invader",0.388632,186,3.1
"Mutant",0.313833,2895,3.1
"Invader",0.384583,130,3.2
"Mutant",0.313815,2317,3.2
"Invader",0.395716,127,3.3
"Mutant",0.3158935,3084,3.3
"Invader",0.4243505,168,3.4
"Mutant",0.322412,5161,3.4
"Invader",0.3928395,114,3.5
"Mutant",0.315927,2806,3.5
"Invader",0.400388,93,3.6
"Mutant",0.3162885,2476,3.6
"Invader",0.4270165,158,3.7
"Mutant",0.3190785,5306,3.7
"Invader",0.38653,93,3.8
"Mutant",0.317148,2623,3.8
"Invader",0.359519,52,3.9
"Mutant",0.308754,1103,3.9
"Invader",0.403965,67,4
"Mutant",0.313727,2107,4
"Invader",0.4005365,74,4.1
"Mutant",0.319289,2657,4.1
"Invader",0.422542,99,4.2
"Mutant",0.315001,4174,4.2
"Invader",0.404819,92,4.3
"Mutant",0.3233485,4220,4.3
"Invader",0.411416,74,4.4
"Mutant",0.31837,3126,4.4
"Invader",0.405793,81,4.5
"Mutant",0.316713,3351,4.5
"Invader",0.416813,103,4.6
"Mutant",0.315237,4595,4.6
"Invader",0.423964,105,4.7
"Mutant",0.318185,4415,4.7
"Invader",0.372741,48,4.8
"Mutant",0.307875,1561,4.8
"Invader",0.408953,43,4.9
"Mutant",0.3167925,2794,4.9
"Invader",0.406304,73,5
"Mutant",0.3169885,2830,5
"Invader",0.309422,1117,0.1
"Mutant",0.305882,393,0.1
"Invader",0.3174685,1118,0.2
"Mutant",0.309121,692,0.2
"Invader",0.3231415,590,0.3
"Mutant",0.313374,803,0.3
"Invader",0.3349175,358,0.4
"Mutant",0.308103,459,0.4
"Invader",0.322812,385,0.5
"Mutant",0.3080265,620,0.5
"Invader",0.315685,168,0.6
"Mutant",0.305268,241,0.6
"Invader",0.334346,371,0.7
"Mutant",0.306993,635,0.7
"Invader",0.329019,217,0.8
"Mutant",0.305586,404,0.8
"Invader",0.324782,183,0.9
"Mutant",0.305799,495,0.9
"Invader",0.340986,343,1
"Mutant",0.305935,883,1
"Invader",0.348441,487,1.1
"Mutant",0.308354,1791,1.1
"Invader",0.359458,361,1.2
"Mutant",0.309277,1549,1.2
"Invader",0.341837,219,1.3
"Mutant",0.3044315,576,1.3
"Invader",0.337512,254,1.4
"Mutant",0.306606,1053,1.4
"Invader",0.3564215,212,1.5
"Mutant",0.3090395,1102,1.5
"Invader",0.343684,191,1.6
"Mutant",0.307484,1135,1.6
"Invader",0.3609845,144,1.7
"Mutant",0.307059,1151,1.7
"Invader",0.362566,217,1.8
"Mutant",0.31221,2048,1.8
"Invader",0.347567,74,1.9
"Mutant",0.3073035,548,1.9
"Invader",0.371213,250,2
"Mutant",0.312109,2037,2
"Invader",0.3371795,78,2.1
"Mutant",0.309618,681,2.1
"Invader",0.39245,206,2.2
"Mutant",0.318379,2816,2.2
"Invader",0.363988,152,2.3
"Mutant",0.309848,1885,2.3
"Invader",0.388992,264,2.4
"Mutant",0.3157745,3276,2.4
"Invader",0.3903535,108,2.5
"Mutant",0.311928,1503,2.5
"Invader",0.354272,96,2.6
"Mutant",0.310509,1555,2.6
"Invader",0.343973,84,2.7
"Mutant",0.311291,948,2.7
"Invader",0.409949,196,2.8
"Mutant",0.314283,3304,2.8
"Invader",0.344192,68,2.9
"Mutant",0.310901,1187,2.9
"Invader",0.4052825,140,3
"Mutant",0.3157,3235,3
"Invader",0.3919055,148,3.1
"Mutant",0.3164965,2950,3.1
"Invader",0.383624,183,3.2
"Mutant",0.316912,4724,3.2
"Invader",0.389885,140,3.3
"Mutant",0.313819,3121,3.3
"Invader",0.4419325,164,3.4
"Mutant",0.3217665,4690,3.4
"Invader",0.431399,168,3.5
"Mutant",0.323932,5827,3.5
"Invader",0.401123,65,3.6
"Mutant",0.317324,1739,3.6
"Invader",0.420116,74,3.7
"Mutant",0.3157515,2126,3.7
"Invader",0.3763895,86,3.8
"Mutant",0.3149525,2314,3.8
"Invader",0.426422,142,3.9
"Mutant",0.3197405,5048,3.9
"Invader",0.3973255,82,4
"Mutant",0.318465,3909,4
"Invader",0.353885,27,4.1
"Mutant",0.314195,891,4.1
"Invader",0.394265,85,4.2
"Mutant",0.318937,3032,4.2
"Invader",0.433232,129,4.3
"Mutant",0.32015,5874,4.3
"Invader",0.443786,106,4.4
"Mutant",0.316648,4553,4.4
"Invader",0.396277,69,4.5
"Mutant",0.3159445,2862,4.5
"Invader",0.386078,79,4.6
"Mutant",0.319589,2804,4.6
"Invader",0.4173025,112,4.7
"Mutant",0.320295,6250,4.7
"Invader",0.400215,64,4.8
"Mutant",0.318709,3637,4.8
"Invader",0.4097855,56,4.9
"Mutant",0.3152015,2994,4.9
"Invader",0.418511,74,5
"Mutant",0.3171375,3490,5
"Invader",0.3264505,2186,0.1
"Mutant",0.31884,2194,0.1
"Invader",0.3161975,1040,0.2
"Mutant",0.30589,627,0.2
"Invader",0.318575,345,0.3
"Mutant",0.309838,339,0.3
"Invader",0.32539,641,0.4
"Mutant",0.3054515,572,0.4
"Invader",0.313371,225,0.5
"Mutant",0.304584,293,0.5
"Invader",0.325752,351,0.6
"Mutant",0.305302,591,0.6
"Invader",0.331159,416,0.7
"Mutant",0.30506,686,0.7
"Invader",0.332963,282,0.8
"Mutant",0.305728,567,0.8
"Invader",0.335818,305,0.9
"Mutant",0.3051595,508,0.9
"Invader",0.333112,269,1
"Mutant",0.305722,625,1
"Invader",0.329808,134,1.1
"Mutant",0.303376,353,1.1
"Invader",0.333937,157,1.2
"Mutant",0.306982,539,1.2
"Invader",0.341939,221,1.3
"Mutant",0.306687,907,1.3
"Invader",0.358504,267,1.4
"Mutant",0.308558,1395,1.4
"Invader",0.358328,242,1.5
"Mutant",0.3101225,1462,1.5
"Invader",0.352538,271,1.6
"Mutant",0.307546,1333,1.6
"Invader",0.3307945,66,1.7
"Mutant",0.307743,398,1.7
"Invader",0.357235,203,1.8
"Mutant",0.314752,1799,1.8
"Invader",0.379635,267,1.9
"Mutant",0.3139955,2240,1.9
"Invader",0.35535,119,2
"Mutant",0.308657,896,2
"Invader",0.3707605,226,2.1
"Mutant",0.31212,1867,2.1
"Invader",0.35593,146,2.2
"Mutant",0.308507,1030,2.2
"Invader",0.374396,198,2.3
"Mutant",0.311151,2184,2.3
"Invader",0.405732,269,2.4
"Mutant",0.31723,3916,2.4
"Invader",0.376049,203,2.5
"Mutant",0.311017,2326,2.5
"Invader",0.388662,181,2.6
"Mutant",0.3176445,2654,2.6
"Invader",0.359081,65,2.7
"Mutant",0.309985,1035,2.7
"Invader",0.409122,180,2.8
"Mutant",0.319216,3869,2.8
"Invader",0.395078,167,2.9
"Mutant",0.314183,2757,2.9
"Invader",0.4213615,86,3
"Mutant",0.321942,1983,3
"Invader",0.362424,72,3.1
"Mutant",0.307561,1265,3.1
"Invader",0.361761,59,3.2
"Mutant",0.311047,1011,3.2
"Invader",0.368617,43,3.3
"Mutant",0.316811,940,3.3
"Invader",0.372373,77,3.4
"Mutant",0.312223,1485,3.4
"Invader",0.39987,104,3.5
"Mutant",0.3164915,2262,3.5
"Invader",0.3808885,100,3.6
"Mutant",0.315307,2218,3.6
"Invader",0.348749,46,3.7
"Mutant",0.313577,1217,3.7
"Invader",0.4027625,54,3.8
"Mutant",0.308601,1511,3.8
"Invader",0.431981,153,3.9
"Mutant",0.317969,4387,3.9
"Invader",0.401317,120,4
"Mutant",0.318408,3909,4
"Invader",0.403394,76,4.1
"Mutant",0.311928,2087,4.1
"Invader",0.390279,73,4.2
"Mutant",0.3149595,3336,4.2
"Invader",0.434634,100,4.3
"Mutant",0.31858,4253,4.3
"Invader",0.4174445,92,4.4
"Mutant",0.319785,3767,4.4
"Invader",0.391545,69,4.5
"Mutant",0.311993,2673,4.5
"Invader",0.368572,40,4.6
"Mutant",0.3147045,2350,4.6
"Invader",0.4042125,116,4.7
"Mutant",0.321255,5909,4.7
"Invader",0.385882,34,4.8
"Mutant",0.310093,1357,4.8
"Invader",0.411293,81,4.9
"Mutant",0.317014,4140,4.9
"Invader",0.382441,43,5
"Mutant",0.312686,1837,5
"Invader",0.314661,1777,0.1
"Mutant",0.306506,768,0.1
"Invader",0.322182,843,0.2
"Mutant",0.308306,647,0.2
"Invader",0.3084495,290,0.3
"Mutant",0.304106,263,0.3
"Invader",0.31902,497,0.4
"Mutant",0.305154,518,0.4
"Invader",0.3259315,346,0.5
"Mutant",0.3079945,488,0.5
"Invader",0.3292565,520,0.6
"Mutant",0.3055745,862,0.6
"Invader",0.330362,215,0.7
"Mutant",0.303791,287,0.7
"Invader",0.3344075,330,0.8
"Mutant",0.305438,653,0.8
"Invader",0.358201,257,0.9
"Mutant",0.310782,727,0.9
"Invader",0.337537,284,1
"Mutant",0.307802,981,1
"Invader",0.3427355,362,1.1
"Mutant",0.305959,1311,1.1
"Invader",0.334402,171,1.2
"Mutant",0.3163045,800,1.2
"Invader",0.323737,113,1.3
"Mutant",0.304857,604,1.3
"Invader",0.335746,161,1.4
"Mutant",0.3071035,778,1.4
"Invader",0.374079,254,1.5
"Mutant",0.3153435,2066,1.5
"Invader",0.357477,339,1.6
"Mutant",0.307919,1891,1.6
"Invader",0.3593325,280,1.7
"Mutant",0.309439,1611,1.7
"Invader",0.366167,210,1.8
"Mutant",0.310519,1474,1.8
"Invader",0.331199,69,1.9
"Mutant",0.304386,421,1.9
"Invader",0.355611,127,2
"Mutant",0.309205,1246,2
"Invader",0.34853,91,2.1
"Mutant",0.309793,895,2.1
"Invader",0.4067835,94,2.2
"Mutant",0.315946,1266,2.2
"Invader",0.349061,193,2.3
"Mutant",0.310568,1886,2.3
"Invader",0.3472565,68,2.4
"Mutant",0.309408,727,2.4
"Invader",0.373009,183,2.5
"Mutant",0.3168485,2620,2.5
"Invader",0.357794,80,2.6
"Mutant",0.319045,1479,2.6
"Invader",0.362324,140,2.7
"Mutant",0.309579,1967,2.7
"Invader",0.369715,111,2.8
"Mutant",0.3109225,1602,2.8
"Invader",0.368291,105,2.9
"Mutant",0.309665,1005,2.9
"Invader",0.375896,139,3
"Mutant",0.3153635,2906,3
"Invader",0.363579,118,3.1
"Mutant",0.314275,2447,3.1
"Invader",0.375233,77,3.2
"Mutant",0.32417,1718,3.2
"Invader",0.3764285,110,3.3
"Mutant",0.310757,2278,3.3
"Invader",0.3770515,32,3.4
"Mutant",0.309483,955,3.4
"Invader",0.3705515,86,3.5
"Mutant",0.3117615,1856,3.5
"Invader",0.379139,87,3.6
"Mutant",0.315596,2679,3.6
"Invader",0.365023,95,3.7
"Mutant",0.312161,2557,3.7
"Invader",0.402037,107,3.8
"Mutant",0.314679,3063,3.8
"Invader",0.408655,137,3.9
"Mutant",0.318312,4643,3.9
"Invader",0.360863,57,4
"Mutant",0.311612,1768,4
"Invader",0.372472,74,4.1
"Mutant",0.31131,2172,4.1
"Invader",0.3777385,78,4.2
"Mutant",0.316121,3341,4.2
"Invader",0.407229,122,4.3
"Mutant",0.3177545,4100,4.3
"Invader",0.374846,59,4.4
"Mutant",0.309949,1321,4.4
"Invader",0.364095,53,4.5
"Mutant",0.317385,2819,4.5
"Invader",0.421914,89,4.6
"Mutant",0.3166005,4194,4.6
"Invader",0.365038,33,4.7
"Mutant",0.309109,693,4.7
"Invader",0.3816545,60,4.8
"Mutant",0.314944,2648,4.8
"Invader",0.414655,83,4.9
"Mutant",0.32063,4764,4.9
"Invader",0.426111,71,5
"Mutant",0.316347,3544,5
"Invader",0.3097235,1004,0.1
"Mutant",0.314396,643,0.1
"Invader",0.316067,854,0.2
"Mutant",0.308178,599,0.2
"Invader",0.3126505,322,0.3
"Mutant",0.31037,301,0.3
"Invader",0.3227025,664,0.4
"Mutant",0.3041345,644,0.4
"Invader",0.331043,240,0.5
"Mutant",0.309462,421,0.5
"Invader",0.336319,745,0.6
"Mutant",0.309349,1271,0.6
"Invader",0.322632,206,0.7
"Mutant",0.306841,449,0.7
"Invader",0.336467,103,0.8
"Mutant",0.306951,276,0.8
"Invader",0.329672,261,0.9
"Mutant",0.306543,727,0.9
"Invader",0.330712,200,1
"Mutant",0.305056,579,1
"Invader",0.3526545,272,1.1
"Mutant",0.311594,984,1.1
"Invader",0.340773,151,1.2
"Mutant",0.308101,683,1.2
"Invader",0.348791,260,1.3
"Mutant",0.3119935,1150,1.3
"Invader",0.3488845,186,1.4
"Mutant",0.312435,1231,1.4
"Invader",0.322956,56,1.5
"Mutant",0.305089,355,1.5
"Invader",0.339102,71,1.6
"Mutant",0.3057415,398,1.6
"Invader",0.363069,325,1.7
"Mutant",0.311828,2285,1.7
"Invader",0.3906265,342,1.8
"Mutant",0.315687,3328,1.8
"Invader",0.3671545,144,1.9
"Mutant",0.310039,1166,1.9
"Invader",0.345762,81,2
"Mutant",0.308277,717,2
"Invader",0.376431,238,2.1
"Mutant",0.316284,2619,2.1
"Invader",0.3696685,166,2.2
"Mutant",0.309918,1734,2.2
"Invader",0.366895,201,2.3
"Mutant",0.312704,1997,2.3
"Invader",0.365061,121,2.4
"Mutant",0.30851,1060,2.4
"Invader",0.37987,180,2.5
