"speciesType","median","n","z"
"Mutant",0.3079845,1024,2.3
"Invader",0.39504,285,2.4
"Mutant",0.3188545,4094,2.4
"Invader",0.3732075,148,2.5
"Mutant",0.31455,2067,2.5
"Invader",0.358131,76,2.6
"Mutant",0.311998,840,2.6
"Invader",0.361215,84,2.7
"Mutant",0.3125275,1382,2.7
"Invader",0.364926,88,2.8
"Mutant",0.317786,1143,2.8
"Invader",0.3814,161,2.9
"Mutant",0.31414,2895,2.9
"Invader",0.35154,69,3
"Mutant",0.313028,1005,3
"Invader",0.405965,169,3.1
"Mutant",0.320466,4225,3.1
"Invader",0.3767355,130,3.2
"Mutant",0.314529,2322,3.2
"Invader",0.3793345,62,3.3
"Mutant",0.315658,1538,3.3
"Invader",0.414516,162,3.4
"Mutant",0.317562,4023,3.4
"Invader",0.395627,115,3.5
"Mutant",0.315667,2977,3.5
"Invader",0.368789,69,3.6
"Mutant",0.3128395,1426,3.6
"Invader",0.384687,165,3.7
"Mutant",0.321745,4023,3.7
"Invader",0.385201,139,3.8
"Mutant",0.318594,3512,3.8
"Invader",0.397932,116,3.9
"Mutant",0.3177715,3454,3.9
"Invader",0.412628,68,4
"Mutant",0.316968,2519,4
"Invader",0.4100245,124,4.1
"Mutant",0.316229,4183,4.1
"Invader",0.404189,89,4.2
"Mutant",0.3169265,2632,4.2
"Invader",0.4164415,104,4.3
"Mutant",0.317781,3039,4.3
"Invader",0.369446,54,4.4
"Mutant",0.312284,1625,4.4
"Invader",0.4080805,102,4.5
"Mutant",0.314502,3359,4.5
"Invader",0.423828,104,4.6
"Mutant",0.3174505,4050,4.6
"Invader",0.43505,59,4.7
"Mutant",0.31977,4267,4.7
"Invader",0.412237,71,4.8
"Mutant",0.315313,3100,4.8
"Invader",0.409693,87,4.9
"Mutant",0.321445,5209,4.9
"Invader",0.412345,73,5
"Mutant",0.318121,4836,5
"Invader",0.311685,1299,0.1
"Mutant",0.323661,1179,0.1
"Invader",0.3150015,574,0.2
"Mutant",0.306906,367,0.2
"Invader",0.316186,615,0.3
"Mutant",0.311392,687,0.3
"Invader",0.316766,470,0.4
"Mutant",0.304729,420,0.4
"Invader",0.3133225,270,0.5
"Mutant",0.3019885,214,0.5
"Invader",0.320214,253,0.6
"Mutant",0.303841,412,0.6
"Invader",0.320984,179,0.7
"Mutant",0.3031745,302,0.7
"Invader",0.32139,205,0.8
"Mutant",0.3034015,318,0.8
"Invader",0.345456,485,0.9
"Mutant",0.308083,1365,0.9
"Invader",0.335202,235,1
"Mutant",0.305125,617,1
"Invader",0.325053,129,1.1
"Mutant",0.3076555,514,1.1
"Invader",0.335764,271,1.2
"Mutant",0.306244,933,1.2
"Invader",0.3378235,194,1.3
"Mutant",0.305782,904,1.3
"Invader",0.34863,215,1.4
"Mutant",0.3085355,1078,1.4
"Invader",0.3698675,402,1.5
"Mutant",0.313902,2565,1.5
"Invader",0.3534835,258,1.6
"Mutant",0.307862,1463,1.6
"Invader",0.335983,112,1.7
"Mutant",0.311075,731,1.7
"Invader",0.371984,283,1.8
"Mutant",0.312447,2059,1.8
"Invader",0.345527,124,1.9
"Mutant",0.31082,1057,1.9
"Invader",0.34571,91,2
"Mutant",0.306395,667,2
"Invader",0.346799,129,2.1
"Mutant",0.311175,1190,2.1
"Invader",0.399269,147,2.2
"Mutant",0.315568,1901,2.2
"Invader",0.336936,77,2.3
"Mutant",0.309289,873,2.3
"Invader",0.351789,123,2.4
"Mutant",0.3118195,1694,2.4
"Invader",0.39388,236,2.5
"Mutant",0.318223,3359,2.5
"Invader",0.373893,131,2.6
"Mutant",0.3068595,1322,2.6
"Invader",0.3451955,76,2.7
"Mutant",0.309801,727,2.7
"Invader",0.385836,178,2.8
"Mutant",0.310712,2053,2.8
"Invader",0.3776805,98,2.9
"Mutant",0.318124,2019,2.9
"Invader",0.372714,101,3
"Mutant",0.315508,1775,3
"Invader",0.3692995,84,3.1
"Mutant",0.311055,1392,3.1
"Invader",0.376788,103,3.2
"Mutant",0.314834,2251,3.2
"Invader",0.402643,163,3.3
"Mutant",0.315708,3221,3.3
"Invader",0.3772155,96,3.4
"Mutant",0.311452,2000,3.4
"Invader",0.3600415,48,3.5
"Mutant",0.313508,1147,3.5
"Invader",0.400065,139,3.6
"Mutant",0.319297,4162,3.6
"Invader",0.401197,107,3.7
"Mutant",0.316532,3292,3.7
"Invader",0.386599,90,3.8
"Mutant",0.314344,2349,3.8
"Invader",0.401562,85,3.9
"Mutant",0.319673,3409,3.9
"Invader",0.356402,53,4
"Mutant",0.30983,1311,4
"Invader",0.354236,41,4.1
"Mutant",0.311029,1404,4.1
"Invader",0.386959,101,4.2
"Mutant",0.317119,3917,4.2
"Invader",0.37645,51,4.3
"Mutant",0.313828,1831,4.3
"Invader",0.414423,106,4.4
"Mutant",0.315298,4057,4.4
"Invader",0.433119,101,4.5
"Mutant",0.320358,4479,4.5
"Invader",0.410264,65,4.6
"Mutant",0.315008,2544,4.6
"Invader",0.403734,56,4.7
"Mutant",0.314386,2221,4.7
"Invader",0.440432,93,4.8
"Mutant",0.318973,4845,4.8
"Invader",0.422441,53,4.9
"Mutant",0.315112,3061,4.9
"Invader",0.3782295,40,5
"Mutant",0.3162815,2046,5
"Invader",0.313712,1783,0.1
"Mutant",0.304399,658,0.1
"Invader",0.32373,1045,0.2
"Mutant",0.307409,671,0.2
"Invader",0.31212,342,0.3
"Mutant",0.3076025,328,0.3
"Invader",0.311765,295,0.4
"Mutant",0.3109,430,0.4
"Invader",0.3206595,186,0.5
"Mutant",0.30286,244,0.5
"Invader",0.327536,462,0.6
"Mutant",0.304187,631,0.6
"Invader",0.325198,304,0.7
"Mutant",0.304339,459,0.7
"Invader",0.326373,205,0.8
"Mutant",0.304693,462,0.8
"Invader",0.3304445,266,0.9
"Mutant",0.304288,509,0.9
"Invader",0.337426,315,1
"Mutant",0.3060115,774,1
"Invader",0.350556,281,1.1
"Mutant",0.309658,1023,1.1
"Invader",0.347178,286,1.2
"Mutant",0.3089735,1076,1.2
"Invader",0.335994,159,1.3
"Mutant",0.304924,571,1.3
"Invader",0.33142,123,1.4
"Mutant",0.3039835,532,1.4
"Invader",0.362465,326,1.5
"Mutant",0.3119785,1878,1.5
"Invader",0.3427405,102,1.6
"Mutant",0.30874,679,1.6
"Invader",0.363752,247,1.7
"Mutant",0.312598,1806,1.7
"Invader",0.3468605,128,1.8
"Mutant",0.3068745,858,1.8
"Invader",0.3354865,106,1.9
"Mutant",0.30785,1011,1.9
"Invader",0.376514,189,2
"Mutant",0.310295,1665,2
"Invader",0.3661545,202,2.1
"Mutant",0.311698,2071,2.1
"Invader",0.3433075,68,2.2
"Mutant",0.314872,935,2.2
"Invader",0.374402,145,2.3
"Mutant",0.3163395,1686,2.3
"Invader",0.363583,211,2.4
"Mutant",0.307861,1932,2.4
"Invader",0.370763,85,2.5
"Mutant",0.306356,842,2.5
"Invader",0.372016,89,2.6
"Mutant",0.310492,1039,2.6
"Invader",0.3726945,168,2.7
"Mutant",0.3170175,2296,2.7
"Invader",0.4030215,150,2.8
"Mutant",0.317186,2756,2.8
"Invader",0.3579625,66,2.9
"Mutant",0.309433,1031,2.9
"Invader",0.37961,135,3
"Mutant",0.318899,3633,3
"Invader",0.4007155,146,3.1
"Mutant",0.3171155,2770,3.1
"Invader",0.395552,108,3.2
"Mutant",0.317085,2561,3.2
"Invader",0.370148,77,3.3
"Mutant",0.3147065,1996,3.3
"Invader",0.4131125,104,3.4
"Mutant",0.319121,3451,3.4
"Invader",0.375132,101,3.5
"Mutant",0.3181015,2940,3.5
"Invader",0.3839145,86,3.6
"Mutant",0.3102325,2008,3.6
"Invader",0.385046,87,3.7
"Mutant",0.31671,2919,3.7
"Invader",0.412801,123,3.8
"Mutant",0.318227,3360,3.8
"Invader",0.385577,73,3.9
"Mutant",0.3139975,2654,3.9
"Invader",0.388002,77,4
"Mutant",0.317634,2629,4
"Invader",0.370414,27,4.1
"Mutant",0.3114505,1462,4.1
"Invader",0.422679,110,4.2
"Mutant",0.3169235,3648,4.2
"Invader",0.403326,92,4.3
"Mutant",0.3161825,3760,4.3
"Invader",0.401351,90,4.4
"Mutant",0.317524,3705,4.4
"Invader",0.394539,50,4.5
"Mutant",0.3110215,1752,4.5
"Invader",0.458786,91,4.6
"Mutant",0.320858,6513,4.6
"Invader",0.398796,45,4.7
"Mutant",0.320341,2607,4.7
"Invader",0.432262,51,4.8
"Mutant",0.318431,2779,4.8
"Invader",0.355639,19,4.9
"Mutant",0.3079255,958,4.9
"Invader",0.416693,43,5
"Mutant",0.3199755,1980,5
"Invader",0.315582,1636,0.1
"Mutant",0.322297,1519,0.1
"Invader",0.309535,683,0.2
"Mutant",0.3035995,458,0.2
"Invader",0.320074,496,0.3
"Mutant",0.306654,505,0.3
"Invader",0.318463,482,0.4
"Mutant",0.305408,534,0.4
"Invader",0.3214805,416,0.5
"Mutant",0.3034055,350,0.5
"Invader",0.32611,553,0.6
"Mutant",0.306091,939,0.6
"Invader",0.3171865,156,0.7
"Mutant",0.303864,257,0.7
"Invader",0.323391,251,0.8
