"typeEXT","N","lifespan","sd","se","ci","z"
"Generalists",148,66648.6486486487,508331.117446245,41784.5604619816,82576.0401825186,3.8
"Specialists",764,299719.895287958,741222.423180748,26816.4861143451,52642.8532620051,3.8
"Generalists",470,34032.1276595745,87743.3501191567,4047.29893909635,7953.0840253546,3.9
"Specialists",1615,103599.19504644,315558.906329173,7852.25109659659,15401.6791664602,3.9
"Generalists",394,27006.5989847716,68443.9300405524,3448.1553809917,6779.13766612849,4
"Specialists",1514,114572.391017173,350536.123073795,9008.86007372795,17671.1776217894,4
"Generalists",437,12790.1601830664,67651.1509779694,3236.19342617741,6360.47880548316,4.1
"Specialists",860,287076.162790698,1095119.01328099,37343.2484052061,73294.6945191795,4.1
"Generalists",230,52633.4782608696,116901.16439436,7708.23451188718,15188.1301767732,4.2
"Specialists",1151,158901.12945265,359396.477407106,10593.4190992589,20784.5951109608,4.2
"Generalists",999,24908.6086086086,61697.102613557,1952.009942014,3830.51469746428,4.3
"Specialists",2625,51108.2666666667,122540.059637389,2391.73706278492,4689.88177434764,4.3
"Generalists",550,29741.2727272727,116435.825591065,4964.84028509442,9752.40817505507,4.4
"Specialists",1759,97339.7384877771,267557.342319465,6379.4605137353,12512.1272153221,4.4
"Generalists",707,26513.5785007072,65910.5094386066,2478.81982871288,4866.74086846158,4.5
"Specialists",2264,64269.6554770318,138395.614934228,2908.60079479649,5703.80345241211,4.5
"Generalists",381,29364.8293963255,98263.7611725373,5034.2049860852,9898.38672959233,4.6
"Specialists",1319,127595.072024261,396033.47143798,10904.5938563298,21392.2561580822,4.6
"Generalists",552,32005.0724637681,89811.7974315706,3822.64395514032,7508.73805673658,4.7
"Specialists",1921,83309.3180635086,212935.937064031,4858.3106476915,9528.12034097082,4.7
"Generalists",898,22487.8619153675,99942.9976761663,3335.14102914651,6545.58836744861,4.8
"Specialists",2134,73926.1949390815,261637.468020452,5663.73245811874,11107.0142179335,4.8
"Generalists",721,26452.427184466,74232.4593782975,2764.56125372369,5427.5642962244,4.9
"Specialists",1988,75040.3923541247,203984.988625503,4574.98862487984,8972.2782668794,4.9
"Generalists",117,54541.8803418803,384833.68558184,35577.8868177208,70466.4877437243,5
"Specialists",425,589021.882352941,1605731.03074,77889.3958361524,153097.425660825,5
"Generalists",712,5056.3202247191,6741.92662566593,252.664382541078,496.057524191268,0.1
"Specialists",1636,271354.584352078,944082.688065816,23340.9422585477,45781.2969330065,0.1
"Generalists",74,12904.0540540541,15241.3500210051,1771.7709512099,3531.13441349647,0.2
"Specialists",555,702452.252252252,1827514.51237265,77573.6708018928,152374.491991847,0.2
"Generalists",221,8540.72398190045,13816.9746530989,929.430294447625,1831.72642202933,0.3
"Specialists",801,444195.630461923,1350167.14778889,47705.8104770152,93643.3449186868,0.3
"Generalists",55,22567.2727272727,30065.8539835072,4054.07892410409,8127.93886761602,0.4
"Specialists",473,717332.769556025,1494274.20073958,68706.8009502707,135009.047758503,0.4
"Generalists",47,14048.9361702128,25964.4729878986,3787.30763162714,7623.45486345624,0.5
"Specialists",350,1049350.28571429,2193392.15992176,117241.742532333,230589.248598515,0.5
"Generalists",81,36238.2716049383,60101.4009152475,6677.9334350275,13289.5110586203,0.6
"Specialists",692,395759.537572254,681686.289795182,25913.8244426929,50879.2807108714,0.6
"Generalists",50,22776,37300.3176656605,5275.06151236018,10600.6329895725,0.7
"Specialists",418,745382.535885167,1547044.19159552,75668.4048320775,148739.049105284,0.7
"Generalists",35,69814.2857142857,109199.259701372,18458.0437899638,37511.2581448999,0.8
"Specialists",426,694334.037558685,1656592.00830142,80262.1450591912,157760.178931567,0.8
"Generalists",105,36160,55797.2455895864,5445.25360412046,10798.1422381916,0.9
"Specialists",703,382279.374110953,1036950.10569288,39109.3139506509,76785.2333394254,0.9
"Generalists",124,25830.6451612903,44977.3044437696,4039.08117448672,7995.11352901105,1
"Specialists",562,489388.790035587,1713299.15064671,72271.1627148362,141955.134504903,1
"Generalists",27,113425.925925926,232949.062759342,44831.0680305257,92151.5801025469,1.1
"Specialists",440,608251.818181818,1386240.10019741,66086.4037625145,129885.059275917,1.1
"Generalists",82,47328.0487804878,90363.9968106908,9979.03407002715,19855.1476104435,1.2
"Specialists",582,440090.549828179,1160506.72431222,48104.5513913177,94480.005947302,1.2
"Generalists",159,36719.4968553459,95791.6353460827,7596.77083097451,15004.3218464681,1.3
"Specialists",629,386213.513513513,933509.519988656,37221.4620873447,73093.5960574008,1.3
"Generalists",93,62329.0322580645,90778.28530408,9413.26967907878,18695.5661073893,1.4
"Specialists",644,400282.142857143,1063779.05681488,41918.767230751,82314.2148737692,1.4
"Generalists",138,39974.6376811594,87730.5580280415,7468.12104684797,14767.6956553327,1.5
"Specialists",670,340792.089552239,845118.809973906,32649.7880720811,64108.3909190533,1.5
"Generalists",56,49535.7142857143,91051.0055429901,12167.2024093973,24383.6185157757,1.6
"Specialists",455,595398.901098901,1356699.35462187,63603.0467656321,124992.896573802,1.6
"Generalists",335,21407.7611940299,73097.3213099994,3993.73329354777,7856.04066378009,1.7
"Specialists",996,222775,575179.221435682,18225.251051079,35764.3401769088,1.7
"Generalists",128,31601.5625,64381.6230252558,5690.58527811929,11260.6413122348,1.8
"Specialists",575,523014.956521739,1322159.48081264,55137.8618863306,108296.57455843,1.8
"Generalists",205,33963.9024390244,94134.3067653154,6574.62517161635,12962.9313139572,1.9
"Specialists",704,338744.460227273,940820.430121039,35458.504111503,69617.2483815471,1.9
"Generalists",309,22861.4886731392,40025.6635089926,2276.98044197206,4480.40531825858,2
"Specialists",1081,190496.762257169,663362.490438666,20176.1391236321,39588.8727399781,2
"Generalists",393,30582.6972010178,87797.6573059944,4428.80595756037,8707.18356739298,2.1
"Specialists",1391,135169.734004313,378371.001820386,10145.0520575237,19901.2657395243,2.1
"Generalists",556,26489.2086330935,60592.2406838064,2569.68338862545,5047.49423690495,2.2
"Specialists",1888,86018.6970338983,213220.433207636,4907.13297070587,9623.97685961191,2.2
"Generalists",189,67515.3439153439,154603.342245647,11245.7383894261,22184.0485691009,2.3
"Specialists",815,264713.128834356,661736.93412649,23179.633804206,45498.8995710484,2.3
"Generalists",369,35489.4308943089,70726.9214314066,3681.89646224755,7240.19632545152,2.4
"Specialists",1562,108554.033290653,287760.54636329,7280.99503035635,14281.561488961,2.4
"Generalists",83,50057.8313253012,158387.638961275,17385.3019820986,34584.903854412,2.5
"Specialists",540,442700.925925926,981515.104721733,42237.6850515367,82970.6509472055,2.5
"Generalists",109,89955.0458715596,125261.837236334,11997.9080240055,23781.9351403487,2.6
"Specialists",701,293676.462196862,527082.040404157,19907.6139140229,39085.7871953088,2.6
"Generalists",404,29403.7128712871,120625.981264019,6001.36687316361,11797.8946823923,2.7
"Specialists",1203,187124.106400665,662666.770269992,19105.6747241943,37484.1787355017,2.7
"Generalists",745,22416.644295302,63815.779405173,2338.02925705215,4589.91996669246,2.8
"Specialists",2386,61507.2925398156,158640.241805042,3247.71673744647,6368.63983315243,2.8
"Generalists",360,28225.2777777778,99475.7245617311,5242.83102517709,10310.5197108565,2.9
"Specialists",1316,155501.747720365,441174.579746424,12161.3709600517,23857.8081652747,2.9
"Generalists",107,78428.9719626168,166074.509312154,16055.0288052413,31830.6561468377,3
"Specialists",621,346830.917874396,685542.784794996,27509.8843247798,54023.844312683,3
"Generalists",88,87204.5454545455,298640.719024652,31835.2076145052,63275.9223006979,3.1
"Specialists",727,312950.343878955,814786.330977609,30218.752322861,59326.5707643135,3.1
"Generalists",420,41929.5238095238,139463.008105534,6805.09798919064,13376.385343344,3.2
"Specialists",1615,103967.554179567,282913.166780803,7039.90658967117,13808.3183181648,3.2
"Generalists",318,42807.8616352201,137646.625124016,7718.83944742943,15186.6287210397,3.3
"Specialists",1330,140327.819548872,486865.386418678,13350.0557429663,26189.4797081775,3.3
"Generalists",146,37880.1369863014,189832.723686013,15710.667997197,31051.4999984109,3.4
"Specialists",680,340891.911764706,876305.935361504,33604.798597071,65981.8084680806,3.4
"Generalists",300,23800,55763.7617431412,3219.52228534287,6335.79342554435,3.5
"Specialists",1203,178451.371571072,582249.640573341,16787.1285239502,32935.3312631633,3.5
"Generalists",446,21859.865470852,116700.577120281,5525.93248430444,10860.1660241031,3.6
"Specialists",1255,160289.960159363,468609.511092511,13227.8492253493,25951.1557945956,3.6
"Generalists",595,25786.218487395,73800.3600471129,3025.51978813156,5942.0171455045,3.7
"Specialists",2022,81095.2522255193,189819.134382039,4221.33105713587,8278.61480036586,3.7
"Generalists",498,29993.9759036145,105835.895158873,4742.61986468274,9318.05580415159,3.8
"Specialists",2045,84278.141809291,218582.527766257,4833.57862965317,9479.25316022258,3.8
"Generalists",681,21323.4948604993,84533.6844111324,3239.33782507547,6360.30613484189,3.9
"Specialists",1842,102181.541802389,368088.147663008,8576.43934637784,16820.5707872441,3.9
"Generalists",699,26906.008583691,80041.8428786448,3027.46054090988,5944.02052388698,4
"Specialists",2232,68459.4534050179,158298.146038527,3350.64744179795,6570.71302854049,4
"Generalists",684,16484.2105263158,48794.1660800356,1865.69156997557,3663.17971334006,4.1
"Specialists",1966,96983.9267548322,330871.68220095,7462.21646080285,14634.689820987,4.1
"Generalists",911,10412.9527991218,31814.5489414563,1054.06303139207,2068.67700312955,4.2
"Specialists",1882,108181.987247609,487733.969808698,11242.7666037385,22049.605705412,4.2
"Generalists",526,34096.9581749049,106760.664729978,4654.98619242699,9144.68711258034,4.3
"Specialists",1568,111971.556122449,323892.082340415,8179.5102784121,16043.937872407,4.3
"Generalists",126,104461.111111111,306492.499346323,27304.522004047,54039.0377945017,4.4
"Specialists",626,372172.044728435,995979.916649554,39807.3635033553,78172.3810162728,4.4
"Generalists",447,17717.4496644295,63609.8682992719,3008.64353072411,5912.87869643754,4.5
"Specialists",1280,153567.65625,451024.513289394,12606.518390423,24731.7261756997,4.5
"Generalists",925,28750.5945945946,167660.969729839,5512.65872684394,10818.7839678616,4.6
"Specialists",2049,80262.9087359688,244020.894061965,5390.83494325848,10572.0903605005,4.6
"Generalists",538,28450.1858736059,90886.2491722812,3918.38443697424,7697.24079241539,4.7
"Specialists",1572,108160.623409669,269293.155758036,6792.02138842258,13322.3812925158,4.7
"Generalists",818,20445.4767726161,70438.853299715,2462.83675025554,4834.23293935204,4.8
"Specialists",2044,76073.6790606654,191282.297736304,4230.91533050408,8297.35734564389,4.8
"Generalists",305,44530.1639344262,108042.940149236,6186.52075638257,12173.824041917,4.9
"Specialists",1334,122743.928035982,246230.685886286,6741.61985615332,13225.3405440728,4.9
"Generalists",136,61889.7058823529,395940.418503033,33951.6107870015,67145.8384532855,5
"Specialists",599,389261.769616027,858807.667753096,35089.9300222652,68914.4785007722,5
"Generalists",126,5001.5873015873,6652.13330145431,592.619135837892,1172.86681944266,0.1
"Specialists",1062,415534.557438795,1252033.52101277,38419.6760067407,75387.1795596242,0.1
"Generalists",119,5368.90756302521,7334.56811778538,672.35875699249,1331.45338802789,0.2
"Specialists",644,587391.925465839,1589727.17464184,62644.026470816,123011.581592841,0.2
"Generalists",37,13262.1621621622,14505.8293139029,2384.74364923,4836.48428887959,0.3
"Specialists",465,807713.76344086,2214580.9484469,102698.732360427,201812.228715388,0.3
"Generalists",384,13323.4375,25236.5378668553,1287.84668017128,2532.13476824662,0.4
"Specialists",1367,195684.637893197,493145.73676021,13338.0096017046,26165.2021595771,0.4
"Generalists",28,39871.4285714286,96019.6193576464,18146.0024145297,37232.521506257,0.5
"Specialists",410,747260,1834872.74663457,90617.9058968345,178134.963916186,0.5
"Generalists",48,30720.8333333333,29646.9219695655,4279.16459494311,8608.56878056508,0.6
"Specialists",506,616631.225296443,1382527.93382815,61460.8633437149,120750.476564711,0.6
"Generalists",315,18925.0793650794,35293.1161921274,1988.54182082696,3912.55088211477,0.7
"Specialists",1123,218171.148708816,583900.98515768,17424.0588745929,34187.4070573434,0.7
"Generalists",127,22466.9291338583,43857.7553821625,3891.74647267415,7701.65185982281,0.8
"Specialists",531,571188.888888889,2060224.05518321,89406.108706933,175633.833220837,0.8
"Generalists",63,65836.5079365079,112741.737844176,14204.1238434728,28393.6389875169,0.9
"Specialists",569,502244.991212654,989565.443081579,41484.7414331731,81482.22505548,0.9
"Generalists",133,17788.7218045113,39480.7752490111,3423.41738229587,6771.85795934235,1
"Specialists",565,458184.247787611,1147661.90453007,48282.499204137,94835.4722870873,1
"Generalists",84,27648.8095238095,56907.2347954078,6209.08835810907,12349.6270158328,1.1
"Specialists",414,778267.874396135,1924582.82143647,94588.0853249013,185934.12302703,1.1
"Generalists",71,55214.0845070423,79181.3854311274,9397.101590004,18741.928154188,1.2
"Specialists",626,425484.504792332,981476.188165314,39227.6779270956,77034.0136955334,1.2
"Generalists",49,74426.5306122449,127949.926363647,18278.5609090924,36751.5098831727,1.3
"Specialists",385,610307.792207792,1277884.79484555,65127.0396673882,128050.242880447,1.3
"Generalists",53,34739.6226415094,77804.0075584963,10687.2023557031,21445.4404621194,1.4
"Specialists",334,906423.952095808,1932972.67181798,105767.558811724,208056.786970914,1.4
"Generalists",354,35151.6949152542,71559.4224831896,3803.3403940356,7480.056209376,1.5
"Specialists",1398,144668.884120172,339355.191265072,9076.13425672933,17804.3217462856,1.5
"Generalists",170,35663.5294117647,98009.2235087851,7516.96430153548,14839.2425907433,1.6
"Specialists",961,227571.071800208,529632.527300569,17084.9202355022,33528.0995315521,1.6
"Generalists",471,22922.9299363057,49992.4809741465,2303.53192949722,4526.49592256237,1.7
"Specialists",1672,115402.511961722,354813.806676696,8677.25528122545,17019.4354647213,1.7
"Generalists",39,61748.7179487179,130248.581913272,20856.4649575029,42221.7059398034,1.8
"Specialists",488,514452.049180328,1196132.36962434,54146.3682247727,106389.334634968,1.8
"Generalists",279,35872.0430107527,99566.7568604621,5960.90581258325,11734.2456117038,1.9
"Specialists",1144,190493.793706294,488458.472070888,14441.5774730701,28334.9761267561,1.9
"Generalists",267,45462.9213483146,132431.534913532,8104.67831780099,15957.4820699036,2
"Specialists",986,189300.101419878,395764.709273817,12603.7159716773,24733.2208293865,2
"Generalists",268,42836.5671641791,89998.4490428533,5497.53025624732,10824.0247730961,2.1
"Specialists",1118,201322.271914132,697708.145276494,20866.6576741749,40942.2611193681,2.1
"Generalists",48,34535.4166666667,57572.3577643482,8309.85406328196,16717.2700822862,2.2
"Specialists",340,721166.764705882,1524645.42197734,82685.5073501657,162641.273465499,2.2
"Generalists",170,15458.8235294118,62656.1505816334,4805.50738320616,9486.55427516636,2.3
"Specialists",543,571273.480662983,1594763.13119193,68437.8365164454,134435.8978905,2.3
"Generalists",143,70325.1748251748,197055.661139479,16478.6222154554,32575.1215554348,2.4
"Specialists",682,315917.302052786,662009.65382387,25349.6597973551,49772.8805368691,2.4
"Generalists",345,23832.7536231884,73783.4216719206,3972.36589000883,7813.18305540166,2.5
"Specialists",1300,144169.538461538,440105.485268009,12206.3299518982,23946.2790722575,2.5
"Generalists",247,43997.5708502024,103047.564566956,6556.75951957166,12914.5487699252,2.6
"Specialists",1276,152331.347962382,349546.183754477,9785.41452586654,19197.2838366187,2.6
"Generalists",97,42730.9278350515,111226.49598232,11293.3396156899,22417.1019618395,2.7
"Specialists",623,372249.919743178,825311.887979147,33065.4225868996,64933.3885501611,2.7
"Generalists",141,30968.7943262411,164253.955436066,13832.6784113257,27347.9483059319,2.8
"Specialists",588,412349.829931973,1192733.15521118,49187.486302326,96604.8889242078,2.8
"Generalists",202,62620.7920792079,130305.282052236,9168.24765173414,18078.2854228881,2.9
"Specialists",970,199166.804123711,503943.206326235,16180.6412015458,31753.135554506,2.9
"Generalists",157,36986.6242038217,98530.890051294,7863.6211064859,15532.9125369547,3
"Specialists",917,240238.386041439,537874.389596138,17762.1772008168,34859.2881762079,3
"Generalists",577,26616.8110918544,101852.795014733,4240.18733692148,8328.11392080173,3.1
"Specialists",1535,123858.631921824,418667.407744051,10685.994923099,20960.7034879503,3.1
"Generalists",496,23023.3870967742,49555.442447638,2225.10505196962,4371.81518494347,3.2
"Specialists",1641,102419.683120049,256778.453305278,6338.75969860564,12432.9164308763,3.2
"Generalists",113,85243.3628318584,309502.169931265,29115.5150064348,57688.6608093579,3.3
"Specialists",699,297847.353361946,812225.524423617,30721.1907806834,60317.0168697718,3.3
"Generalists",922,19351.5184381779,63917.8259343675,2105.02149147785,4131.19534290426,3.4
"Specialists",2262,65978.7356321839,171431.751664126,3604.49944030137,7068.47296488223,3.4
"Generalists",751,29791.7443408788,73688.4360788938,2688.92922217286,5278.7231004281,3.5
"Specialists",2265,62170.5518763797,167266.788186203,3514.59765234845,6892.169431054,3.5
"Generalists",1318,15686.1153262519,40996.7189078302,1129.2533694385,2215.33186144594,3.6
"Specialists",3156,45435.4245880862,108128.295868943,1924.73463411512,3773.85833286287,3.6
"Generalists",235,67870.6382978723,138717.16177825,9048.90988422481,17827.7427701789,3.7
"Specialists",1273,140859.151610369,292316.491642316,8192.92757705408,16073.1370347813,3.7
"Generalists",568,30119.014084507,75173.7171536817,3154.21910346189,6195.380515656,3.8
"Specialists",1871,80701.1758417958,209878.83318462,4852.12239394079,9516.1444334829,3.8
"Generalists",642,21465.8878504673,41266.610477699,1628.66320406376,3198.15993188708,3.9
"Specialists",1940,85633.6082474227,272945.092824791,6196.89911219877,12153.2853316376,3.9
"Generalists",909,23676.1276127613,56727.4548355967,1881.53090891254,3692.65501570313,4
"Specialists",2591,49961.7522192204,105822.804177704,2078.95725094745,4076.58640167565,4
"Generalists",748,20807.7540106952,48670.9580963541,1779.58647558554,3493.5859002261,4.1
"Specialists",2250,68617.0666666667,236468.247205108,4985.18836983925,9776.05087841239,4.1
"Generalists",883,23196.9422423556,75758.4381726441,2549.47443218412,5003.74451991223,4.2
"Specialists",2386,61407.5020955574,160258.064859463,3280.83715476485,6433.5876183433,4.2
"Generalists",1139,18430.1141352063,43653.4553344949,1293.47120027979,2537.85615491007,4.3
"Specialists",2681,53206.0052219321,116871.911729197,2257.15685927438,4425.94501964105,4.3
"Generalists",636,33807.8616352201,237088.118442492,9401.15541428749,18461.1133277029,4.4
"Specialists",1710,96304.6783625731,301556.129425379,7292.39366577377,14302.9586041839,4.4
"Generalists",810,24477.9012345679,148918.189245964,5232.45181161377,10270.7830728133,4.5
"Specialists",2223,69813.1803868646,230323.215234731,4885.03841378166,9579.71755565683,4.5
"Generalists",572,34803.8461538462,146831.578056044,6139.33669830496,12058.4384800478,4.6
"Specialists",1540,105260.12987013,292989.515667509,7466.0641890308,14644.7342851648,4.6
"Generalists",880,24269.0909090909,84763.026015931,2857.36102409544,5608.04667745627,4.7
"Specialists",2279,60916.8494953927,133882.167986375,2804.46854806605,5499.57940276825,4.7
"Generalists",369,47555.2845528455,160003.409204467,8329.44477682118,16379.2806464142,4.8
"Specialists",1361,128804.261572373,333543.914115653,9041.15590538641,17736.1244018862,4.8
"Generalists",765,12438.431372549,33122.8846033552,1197.56042021339,2350.89959608423,4.9
"Specialists",1599,115352.532833021,343703.472579716,8595.27325720805,16859.1954266894,4.9
"Generalists",1155,16613.9393939394,40915.6970888096,1203.92369645861,2362.1245379353,5
"Specialists",3043,45138.8761091029,101902.036936495,1847.27643056271,3622.03641580669,5
"Generalists",357,5940.33613445378,8458.59033459441,447.676073520245,880.422147845095,0.1
"Specialists",1288,334264.440993789,1061150.20900411,29567.7945873886,58006.3639455688,0.1
"Generalists",153,6120.2614379085,7862.02029309867,635.606668611673,1255.76423565497,0.2
"Specialists",852,455364.084507042,1299109.41625208,44506.7552423279,87355.8792556575,0.2
"Generalists",82,17830.487804878,23605.8827624318,2606.83365779926,5186.78127645032,0.3
"Specialists",737,482232.293080054,1138479.04106526,41936.414472539,82329.2500099644,0.3
"Generalists",59,17855.9322033898,23941.7487851635,3116.95020131689,6239.25371518604,0.4
"Specialists",528,682996.78030303,1440118.63388647,62673.1190212696,123119.814862929,0.4
"Generalists",18,24738.8888888889,25967.6753560786,6120.63977864466,12913.4211512908,0.5
"Specialists",261,1469126.43678161,3009888.79106316,186307.438977264,366863.567939324,0.5
"Generalists",59,17240.6779661017,42526.2155197119,5536.44168664711,11082.3921241121,0.6
"Specialists",410,734923.902439024,1466554.75501317,72427.9768316846,142377.545715114,0.6
"Generalists",155,28665.8064516129,64249.1006948126,5160.61195426764,10194.7272888371,0.7
"Specialists",740,362351.486486487,790281.813944306,29051.3372593336,57032.9830460965,0.7
"Generalists",26,39996.1538461538,64068.2728393343,12564.8220542289,25877.7354291694,0.8
"Specialists",436,678324.541284404,1381758.11307606,66174.2120260915,130060.942267288,0.8
"Generalists",229,39183.8427947598,68141.0614486126,4502.88808599965,8872.59512767727,0.9
"Specialists",1113,187323.000898473,397055.896694633,11901.5648664921,23352.0557401772,0.9
"Generalists",150,26948,73684.955819312,6016.35144922788,11888.3897452837,1
"Specialists",644,393086.801242236,848634.863181735,33440.898338541,65666.5611433158,1
"Generalists",166,34289.156626506,70859.5084820288,5499.7644759619,10858.9859361003,1.1
"Specialists",778,306663.624678663,763314.391643316,27366.1467939276,53720.3422247607,1.1
"Generalists",88,16615.9090909091,26666.5440501361,2842.66314710873,5650.10081296135,1.2
"Specialists",354,908112.146892655,2006866.39059058,106663.745232973,209776.335322598,1.2
"Generalists",209,32411.961722488,91281.2301693469,6314.05471876256,12447.7463083618,1.3
"Specialists",767,300936.114732725,788593.799220625,28474.4717473341,55897.2605328567,1.3
"Generalists",157,54501.9108280255,116999.187193833,9337.55167927705,18444.3491846113,1.4
"Specialists",781,293022.023047375,618190.827335333,22120.6069881254,43422.9727794529,1.4
"Generalists",171,15014.0350877193,49469.6309880403,3783.03723247572,7467.77870249708,1.5
"Specialists",549,474265.391621129,1217522.9227615,51962.6120923877,102070.281616397,1.5
"Generalists",330,34852.7272727273,80090.794650048,4408.85314149395,8673.09891276693,1.6
"Specialists",1219,175056.111566858,547766.339699712,15688.9358951643,30780.3361695761,1.6
"Generalists",295,41818.9830508475,87007.3054578978,5065.76117493757,9969.75075855207,1.7
"Specialists",1266,137608.767772512,297171.417710541,8351.99418553862,16385.2851498106,1.7
"Generalists",47,81582.9787234043,231475.97144445,33764.2406067115,67963.8913181063,1.8
"Specialists",364,801204.395604396,1828656.7368256,95847.656439183,188486.394737763,1.8
"Generalists",59,89928.813559322,183024.098706123,23827.708093797,47696.3398984624,1.9
"Specialists",436,607792.660550459,1650774.39897577,79057.7555154572,155382.676439322,1.9
"Generalists",383,19328.1984334204,59211.8747698599,3025.5854638161,5948.8864933054,2
"Specialists",1116,192576.523297491,593308.008065707,17760.2106639243,34847.2001930678,2
"Generalists",74,119278.378378378,336913.799092961,39165.4336047662,78056.5966085291,2.1
"Specialists",715,317592.447552448,593919.694841375,22211.3372399474,43607.3415302984,2.1
"Generalists",128,37135.9375,65490.9703872509,5788.63865841406,11454.6712566058,2.2
"Specialists",568,435854.225352113,1176341.19686678,49358.1801703507,96947.1991910799,2.2
"Generalists",216,56271.7592592593,148115.830815906,10078.0057868714,19864.3452391285,2.3
"Specialists",1246,176523.515248796,441452.826700214,12506.197442853,24535.5491542018,2.3
"Generalists",416,32367.5480769231,87216.3184120213,4276.13182198671,8405.57831818205,2.4
"Specialists",1416,136003.601694915,365704.783535572,9718.49497415683,19064.2070618386,2.4
"Generalists",239,35257.7405857741,83205.2671647008,5382.10131613977,10602.6401828541,2.5
"Specialists",1165,180869.356223176,510524.336768586,14957.3097358705,29346.3030723561,2.5
"Generalists",535,25035.8878504673,79466.3275326284,3435.62893656497,6749.00567241676,2.6
"Specialists",1584,121509.154040404,377363.037348096,9481.60306539776,18597.8202646293,2.6
"Generalists",119,57990.756302521,190440.605088233,17457.6616457526,34570.9228942808,2.7
"Specialists",751,290445.938748336,626836.305782313,22873.5816612034,44903.8609528566,2.7
"Generalists",423,38647.5177304965,113684.094963259,5527.50984842052,10864.8808957012,2.8
"Specialists",1563,114285.540626999,345619.739654262,8742.16601829398,17147.6177354234,2.8
"Generalists",280,24768.9285714286,62279.2249682606,3721.8955724619,7326.56307107803,2.9
"Specialists",766,355328.851174935,1187811.22242584,42917.3639766699,84249.7820334964,2.9
"Generalists",241,40482.1576763486,124629.470720178,8028.0899409231,15814.5153888074,3
"Specialists",1073,195207.455731594,599411.243616777,18298.9016973983,35905.7276291098,3
"Generalists",117,39022.2222222222,117944.124052313,10903.9381259051,21596.6233813728,3.1
"Specialists",474,530054.008438819,1353576.12912264,62171.8106942472,122167.11045361,3.1
"Generalists",368,45794.8369565217,102540.881993878,5345.31298146226,10511.285080105,3.2
"Specialists",1862,83608.2169709989,193844.576728552,4492.24895934242,8810.37623410208,3.2
"Generalists",603,31793.864013267,90751.6878594019,3695.69442672666,7258.02023845448,3.3
"Specialists",1941,84065.8938691396,188975.769654696,4289.36847024855,8412.25606291182,3.3
"Generalists",64,136182.8125,500743.30735281,62592.9134191013,125081.956559881,3.4
"Specialists",354,759057.90960452,2006818.94292845,106661.223418183,209771.375651776,3.4
"Generalists",709,20442.4541607898,59507.7404656278,2234.86010369986,4387.74618263746,3.5
"Specialists",1746,102261.225658648,408195.283385551,9768.90446719787,19159.9904944394,3.5
"Generalists",167,22792.8143712575,71467.9847177879,5530.35869570189,10918.9066266727,3.6
"Specialists",670,352722.089552239,801814.935363895,30976.8134417324,60823.4779706669,3.6
"Generalists",389,21798.2005141388,48336.1284257076,2450.73899519867,4818.39028759076,3.7
"Specialists",1454,127591.334250344,360875.190309059,9464.00198379329,18564.5673015917,3.7
"Generalists",441,41102.7210884354,116350.996565005,5540.52364595261,10889.1796180971,3.8
"Specialists",1732,94092.3210161663,216869.795757461,5211.04863666584,10220.6141094778,3.8
"Generalists",574,34051.2195121951,163880.557609983,6840.24231422764,13435.0066917144,3.9
"Specialists",1842,88467.9153094463,236925.877606308,5520.36361882034,10826.8318904291,3.9
"Generalists",1082,22036.4140480591,63160.4526590692,1920.13429042134,3767.61246083176,4
"Specialists",2408,59378.073089701,142550.61355574,2904.96463467346,5696.49052718257,4
"Generalists",914,24221.772428884,58620.0932315914,1938.98034587958,3805.37631881799,4.1
"Specialists",2733,51777.8265642151,114885.106137009,2197.57605314841,4309.07896488596,4.1
"Generalists",643,21597.8227060653,57590.4159362742,2271.14430079036,4459.76877354669,4.2
"Specialists",1673,98517.5732217573,268793.862475307,6571.60388244779,12889.4375082182,4.2
"Generalists",108,124550,364993.934272989,35121.5577008484,69624.3919208279,4.3
"Specialists",516,492844.96124031,1315904.0635767,57929.4462706838,113807.08931478,4.3
"Generalists",525,21660.1904761905,50186.7812418174,2190.33070406493,4302.9079908189,4.4
"Specialists",1842,89153.3116178067,195046.067073183,4544.56568249565,8913.04487473382,4.4
"Generalists",680,24075.1470588235,63148.9170848685,2421.65042438598,4754.82315470294,4.5
"Specialists",2027,73226.8376911692,227534.342807793,5053.82362961131,9911.23336648056,4.5
"Generalists",555,32971.3513513514,149173.829225464,6332.0764033606,12437.8144703201,4.6
"Specialists",1606,111269.115815691,373847.745766134,9328.71866412177,18297.7511489624,4.6
"Generalists",1223,18943.9084219133,59374.4847311107,1697.80037511021,3330.92674311727,4.7
"Specialists",2670,48188.4269662921,105742.094883475,2046.40825666301,4012.70618858092,4.7
"Generalists",602,23546.0132890365,68976.806435278,2811.28475436338,5521.13559196207,4.8
"Specialists",1430,148356.573426573,722210.28229297,19098.3412278953,37463.7923858046,4.8
"Generalists",436,48921.7889908257,217779.62056479,10429.7522481222,20498.9732929543,4.9
"Specialists",1426,118470.336605891,327011.649575458,8659.71225735172,16987.1524562957,4.9
"Generalists",607,29986.8204283361,104094.299201937,4225.05727057142,8297.53217835606,5
"Specialists",1820,90695.8791208791,260736.957698754,6111.76855710403,11986.8222080955,5
"Generalists",297,7610.43771043771,8618.68210497877,500.106659420674,984.215270659209,0.1
